voter_name,first_vote,last_vote,career_contrary_sc,num_awards_voted,contrary_per_ballot,contrary_per_pick,num_picks_made
A. Sherrod Blakely,2014,2019,315.2557667335308,42,7.506089684131685,1.217203732561895,259
Aaron Falk,2014,2016,156.16129657686446,27,5.783751725069054,0.9464321004658452,165
Adam Himmelsbach,2016,2020,75.37475095420652,14,5.383910782443323,0.8973184637405538,84
Adrian Chavarria,2014,2016,100.88261312436856,13,7.760201009566813,1.2154531701731153,83
Ailene Voisin,2017,2018,108.17375770129692,18,6.009653205627607,0.9833977972845175,110
Al Iannazzone,2014,2016,60.65069808033535,12,5.054224840027946,0.7775730523119917,78
Al McCoy,2014,2014,102.52813328025798,9,11.392014808917553,1.8641478778228724,55
Alan Horton,2014,2016,148.25858153731724,27,5.4910585754561945,0.8985368578019227,165
Amin Elhassan,2018,2020,156.9162941814212,27,5.811714599311896,0.9510078435237648,165
Andre Aldridge,2015,2016,101.796016438434,18,5.655334246579667,0.9254183312584908,110
Andre Voigt,2019,2019,38.46785871039004,9,4.274206523376671,0.6994156129161826,55
Andrew Sharp,2017,2019,139.30962135348796,27,5.159615605684739,0.8443007354756846,165
Andy Larsen,2020,2020,45.56769093533301,9,5.063076770592557,0.8285034715515093,55
Andy Vasquez,2014,2016,81.65544401639812,13,6.281188001261394,1.07441373705787,76
Anthony Chiang,2019,2020,73.19108812542974,18,4.066171562523874,0.6653735284129977,110
Anthony Slater,2014,2019,218.60846040724022,45,4.8579657868275605,0.7949398560263281,275
Antoine Bancharel,2020,2020,54.94266681190946,9,6.1047407568788294,0.9989575783983539,55
Antoni Daimiel,2017,2020,128.43173994850764,18,7.13509666380598,1.1675612722591604,110
Antonio Harvey,2015,2016,110.01099279725501,13,8.46238406132731,1.3925442126234813,79
Baxter Holmes,2014,2014,22.25352640848725,5,4.45070528169745,1.0115239276585113,22
Ben Golliver,2017,2018,106.47041395522875,18,5.915022997512708,0.9679128541384432,110
Bill Land,2014,2016,185.39074407268166,27,6.866323854543765,1.1235802671071615,165
Bill Oram,2014,2019,267.8423901830288,52,5.150815195827477,0.8449286756562422,317
Bill Reiter,2014,2016,142.8046098733287,27,5.2890596249381,0.86548248408078,165
Bill Schoening,2014,2016,167.1908806546328,27,6.192254839060474,1.013278064573532,165
Bill Simmons,2014,2020,373.6621889874236,63,5.931145856943231,0.9705511402270742,385
Bill Wennington,2014,2016,107.8716568767358,12,8.989304739727983,1.2996585165871783,83
Bill Worrell,2014,2016,122.0667790279423,13,9.389752232918639,1.7690837540281492,69
Bob Cooney,2014,2015,107.99265609758994,14,7.713761149827853,1.1867324845889005,91
Bob Fitzgerald,2014,2016,124.64206920170443,15,8.309471280113629,1.3259794595926002,94
Bob Rathbun,2014,2016,190.22516702650168,27,7.045376556537099,1.1528798001606162,165
Brad Townsend,2020,2020,45.662273673056056,9,5.073585963672895,0.8302231576919283,55
Brendan Brown,2014,2016,103.66477988501025,11,9.424070898637295,1.38219706513347,75
Brent Barry,2017,2018,96.0304318280618,18,5.335023990447877,0.8730039257096527,110
Brett Dawson,2018,2018,40.41633769598367,9,4.49070418844263,0.7348425035633395,55
Brian Davis,2014,2016,161.73268178506015,20,8.086634089253007,1.2440975521927704,130
Brian Lewis,2016,2019,120.86484712958618,23,5.254993353460269,0.8278414186957957,146
Brian Mahoney,2016,2020,285.5085171400013,45,6.344633714222251,1.0382127896000046,275
Brian Scalabrine,2016,2016,21.524680754667163,4,5.381170188666791,1.7937233962222636,12
Brian Sieman,2014,2016,120.75099921838334,20,6.037549960919167,0.9817154407998646,123
Brian Wheeler,2014,2014,53.01452020154078,7,7.573502885934397,1.432824870311913,37
Brian Windhorst,2014,2020,346.5395822816627,63,5.500628290185123,0.9001028111212018,385
Calvin Watkins,2016,2017,70.53138499076573,12,5.877615415897144,0.9280445393521807,76
Candace Buckner,2014,2016,184.61510910083425,23,8.026743873949314,1.264487048635851,146
Candace Parker,2020,2020,42.63363858749013,9,4.737070954165571,0.7751570652270933,55
Casey Stern,2019,2020,106.0849586858458,18,5.893608815880323,0.9644087153258709,110
Cassidy Hubbarth,2018,2020,127.68199279468008,27,4.728962696099263,0.7738302593616975,165
Cedric Maxwell,2014,2016,146.58255706140062,14,10.470182647242902,1.4957403781775573,98
Charles Gardner,2014,2017,220.69348379177197,36,6.130374549771443,1.003152199053509,220
Chase Hughes,2018,2018,51.981928924110086,9,5.775769880456676,0.9451259804383652,55
Chris Broussard,2014,2020,385.0034707067408,63,6.1111662016942985,1.0000090148227034,385
Chris Carrino,2014,2016,72.40876549655108,12,6.034063791379257,0.9527469144283037,76
Chris Dempsey,2014,2016,116.44229435878654,21,5.5448711599422165,1.0882457416709022,107
Chris Denari,2014,2016,149.68239402957047,27,5.543792371465573,0.9071660244216393,165
Chris Fedor,2020,2020,39.27533439877669,9,4.3639260443085215,0.7140969890686671,55
Chris Haynes,2014,2020,274.9998512128842,44,6.249996618474641,1.0456268106953772,263
Chris Hine,2020,2020,50.276148556932284,9,5.5862387285480315,0.9141117919442233,55
Chris Kirschner,2020,2020,36.60782349312571,9,4.067535943680634,0.6655967907841037,55
Chris Mannix,2014,2020,246.67366092044762,45,5.481636909343281,0.8969951306198095,275
Chris Marlowe,2014,2016,134.35195481433706,20,6.717597740716853,0.9461405268615286,142
Chris Sasaki,2020,2020,43.35531303421946,9,4.817257003802163,0.7882784188039903,55
Chris Sheridan,2014,2016,208.53536290890253,27,7.723531959588983,1.263850684296379,165
Chris Webber,2017,2018,126.44929504436124,18,7.024960835797846,1.1495390458578294,110
Chuck Cooperstein,2014,2016,89.30667543501852,14,6.379048245358466,0.9813920377474562,91
Chuck Swirsky,2014,2016,68.20077149421765,11,6.200070135837968,1.1180454343314368,61
