voter_name,first_vote,last_vote,career_contrary_sc,num_awards_voted,contrary_per_ballot,contrary_per_pick,num_picks_made
A. Sherrod Blakely,2014,2019,37.82063405793515,42,0.9004912870936941,0.04014929305513286,942
Aaron Falk,2014,2016,17.105291518442126,27,0.6335293154978565,0.02603545132182972,657
Adam Himmelsbach,2016,2022,18.506201682187186,32,0.5783188025683496,0.03269646940315757,566
Adrian Chavarria,2014,2016,11.48601804817127,13,0.8835398498593284,0.037536006693370164,306
Ailene Voisin,2017,2018,11.065154070868328,18,0.6147307817149071,0.029042399136137344,381
Al Iannazzone,2014,2016,6.358786935389939,12,0.5298989112824949,0.02483901146636695,256
Al McCoy,2014,2014,10.616140552270297,9,1.1795711724744775,0.04536812201824913,234
Alan Horton,2014,2016,16.573974918707915,27,0.613850922915108,0.02522675025678526,657
Amin Elhassan,2018,2020,19.4928136493315,27,0.7219560610863518,0.035964600829024904,542
Andre Aldridge,2015,2016,11.51372872581395,18,0.6396515958785528,0.02721921684589586,423
Andre Voigt,2019,2019,4.172770883695093,9,0.4636412092994548,0.021733181685911943,192
Andrew Sharp,2017,2019,16.1113714123241,27,0.5967174597157074,0.028117576635818674,573
Andy Larsen,2020,2020,6.245908925912702,9,0.6939898806569669,0.04003787773020963,156
Andy Vasquez,2014,2016,9.271299203076284,13,0.7131768617750988,0.029339554440114823,316
Anthony Chiang,2019,2022,20.09203582592627,36,0.5581121062757297,0.030304729752528313,663
Anthony Slater,2014,2022,37.89009299228022,63,0.6014300474965115,0.028403368060180078,1334
Antoine Bancharel,2020,2022,13.962549079873721,18,0.7756971711040956,0.04654183026624574,300
Antoni Daimiel,2017,2022,33.040863293877266,36,0.9178017581632574,0.05021407795422077,658
Antonio Harvey,2015,2016,12.019034185095656,13,0.9245410911612043,0.04046812856934564,297
Baxter Holmes,2014,2014,3.1135085361144084,5,0.6227017072228817,0.029652462248708652,105
Ben Golliver,2017,2018,12.499886636174097,18,0.6944381464541165,0.03280810140728109,381
Bill Land,2014,2016,19.95127923008119,27,0.7389362677807848,0.030367243881402117,657
Bill Oram,2014,2022,36.64579994876949,61,0.6007508188322868,0.02814577569029915,1302
Bill Reiter,2014,2022,26.482059986245336,45,0.588490221916563,0.02724491768132236,972
Bill Schoening,2014,2016,17.77700038129757,27,0.6584074215295396,0.027057839240939983,657
Bill Simmons,2014,2022,55.63192773859137,81,0.6868139226986589,0.03270542489041233,1701
Bill Wennington,2014,2016,11.112415168062194,12,0.9260345973385161,0.03440376213022351,323
Bill Worrell,2014,2016,15.22408958151892,13,1.1710838139629938,0.04585569151059916,332
Bob Cooney,2014,2015,11.57240881387223,14,0.8266006295623021,0.029902865152124623,387
Bob Fitzgerald,2014,2016,14.430241093996848,15,0.9620160729331232,0.04087886995466529,353
Bob Rathbun,2014,2016,21.225924307055873,27,0.7861453447057731,0.032307342933113964,657
Brad Townsend,2020,2021,10.52938080323478,18,0.58496560017971,0.032199941294295965,327
Brendan Brown,2014,2016,10.971645843436454,11,0.997422349403314,0.035278603998187955,311
Brent Barry,2017,2018,11.388877355866033,18,0.632715408659224,0.02989206655082948,381
Brett Dawson,2018,2018,4.724093626999121,9,0.5248992918887913,0.024350998077315056,194
Brian Davis,2014,2016,16.82355679964844,20,0.841177839982422,0.03192325768434239,527
Brian Lewis,2016,2021,17.44452640639674,32,0.5451414501998981,0.026920565441970277,648
Brian Mahoney,2016,2022,47.50356422790891,63,0.7540248290144271,0.03809427764868397,1247
Brian Scalabrine,2016,2016,3.643759395061818,4,0.9109398487654545,0.05605783684710489,65
Brian Sieman,2014,2016,14.560353914813795,20,0.7280176957406898,0.029654488624875346,491
Brian Wheeler,2014,2014,6.845818409970521,7,0.9779740585672173,0.03889669551119614,176
Brian Windhorst,2014,2022,53.192736878133346,81,0.6567004552855968,0.03127145025169509,1701
Callie Caplan,2022,2022,5.843233976061099,9,0.6492482195623444,0.04057801372264652,144
Calvin Watkins,2016,2017,7.366802698784522,12,0.6139002248987101,0.028664601940795804,257
Candace Buckner,2014,2016,19.09204293497303,23,0.8300888232596969,0.03252477501698983,587
Candace Parker,2020,2021,10.789467564766282,18,0.5994148647092379,0.032995313653719514,327
Casey Stern,2019,2020,13.526635152626207,18,0.751479730701456,0.03886964124317876,348
Cassidy Hubbarth,2018,2022,24.775298307661913,45,0.5505621846147092,0.028909332914424636,857
Cedric Maxwell,2014,2016,16.057355574324646,14,1.1469539695946176,0.04236769280824445,379
Charles Gardner,2014,2017,24.85947093109941,36,0.6905408591972058,0.02945434944443058,844
Chase Hughes,2018,2018,6.079603571565408,9,0.675511507951712,0.031338162740027875,194
Chris Broussard,2014,2022,57.642664898327986,81,0.7116378382509628,0.0338875161071887,1701
Chris Carrino,2014,2016,7.783522196878742,12,0.6486268497398952,0.03052361645834801,255
Chris Dempsey,2014,2016,14.344119330630265,21,0.6830533014585841,0.03559334821496344,403
Chris Denari,2014,2016,16.286800895854462,27,0.6032148479946097,0.024789651287449713,657
Chris Fedor,2020,2022,15.809041176321616,27,0.5855200435674672,0.03356484326182933,471
Chris Haynes,2014,2021,42.89854632987492,53,0.8094065345259418,0.039757688906278885,1079
Chris Herring,2022,2022,6.920643600475897,9,0.7689604000528774,0.048060025003304835,144
Chris Hine,2020,2020,6.589017049219247,9,0.7321130054688052,0.04223728877704645,156
Chris Kirschner,2020,2022,15.853585830569507,27,0.5871698455766484,0.03365941789929831,471
Chris Mannix,2014,2022,41.02556753503017,63,0.6511994846830186,0.03129333908087732,1311
Chris Marlowe,2014,2016,12.831008566673466,20,0.6415504283336733,0.023244580736727295,552
Chris Sasaki,2020,2020,4.943061084593411,9,0.5492290093992679,0.031686289003803915,156
Chris Sheridan,2014,2016,22.509229300012578,27,0.8336751592597251,0.034260622983276375,657
Chris Webber,2017,2018,14.669162767140406,18,0.8149534870633559,0.038501739546300276,381
Christos Tsaltas,2021,2022,19.540386806683824,18,1.085577044815768,0.062032973989472454,315
Chuck Cooperstein,2014,2016,9.87315844733064,14,0.70522560338076,0.028784718505337144,343
Chuck Swirsky,2014,2016,7.238188920207634,11,0.6580171745643303,0.028496806772471,254
Clifton Brown,2018,2018,3.990925317728892,9,0.44343614641432133,0.020571779988293258,194
Connor Letourneau,2018,2020,9.116160277106202,18,0.5064533487281223,0.026046172220303435,350
Coral Lu,2020,2020,6.704794688821336,9,0.7449771876468151,0.042979453133470104,156
Craig Ackerman,2014,2016,7.511174043413469,12,0.6259311702844558,0.02751345803448157,273
Daisuke Sugiura,2021,2022,8.987369119300311,18,0.49929828440557283,0.028531330537461305,315
Dan Devine,2020,2022,18.518024452652906,27,0.6858527575056632,0.03931640011178961,471
Dan Woike,2014,2016,13.60281871275194,21,0.6477532720358067,0.030706137049101447,443
Dante Marchitelli,2015,2016,8.670867974839076,11,0.7882607249853706,0.029796797164395452,291
Darnell Mayberry,2014,2015,9.552417420185064,15,0.6368278280123376,0.027137549489162114,352
Dave Campbell,2019,2019,4.368998027508455,9,0.48544422527871717,0.022755198059939866,192
Dave Johnson,2014,2016,13.642932023946871,19,0.7180490538919406,0.028721962155677624,475
