year,award,voter_name,affiliation,player,points_given,tot_pts,sq_pt_diff
2021,MVP,NBA Fan Vote,NBA Fan Vote,Derrick Rose,10,10,100
2025,DPOY,Ric Bucher,FS1,Giannis Antetokounmpo,5,5,25
2024,CPOY,Tolis Kotzias,SDNA,Jayson Tatum,5,5,25
2024,MIP,Tolis Kotzias,SDNA,Tyrese Haliburton,5,5,25
2020,DPOY,Greg Logan,Newsday,Andre Drummond,5,5,25
2019,COY,Tim Bontemps,ESPN,David Joerger,5,5,25
2019,SMOY,Richard Walker,Gaston Gazette,Dennis Schroder,5,5,25
2017,MIP,Ron Tillery,Memphis Commercial-Appeal,Mike Conley,5,5,25
2015,MIP,Cedric Maxwell,WEEI Radio,DeMarre Carroll,5,5,25
2015,MIP,Tom Heinsohn,Comcast SportsNet,Tyler Zeller,5,5,25
2014,MIP,Michael Smith,Prime Ticket,Kevin Durant,5,5,25
2017,All-NBA,Ailene Voisin,Sacramento Bee,Nikola Jokic,5,12,24.297928782777266
2014,ROY,Steve Kerr,TNT,Tim Hardaway Jr.,5,23,23.558001189767992
2023,All-Defense,Dennis Scott,WarnerMedia,Paul George,2,2,4
2023,All-Defense,Max Haupt,DPA,Tyrese Haliburton,2,2,4
2022,All-Defense,Dennis Scott,Turner,Jaylen Brown,2,2,4
2022,All-Defense,Kevin Pelton,ESPN,Al Horford,2,2,4
2022,All-Defense,Mark Medina,NBA.com,Marcus Smart,0,198,4
2021,All-Defense,Jason Jones,The Athletic,Jaylen Brown,2,2,4
2021,All-Defense,Michael Wilbon,ESPN,Mike Conley,2,2,4
2020,All-Defense,Duane Rankin,Arizona Republic,James Harden,2,2,4
2020,All-Defense,Greg Logan,Newsday,Andre Drummond,2,2,4
2020,All-Defense,Greg Logan,Newsday,Luka Doncic,2,2,4
2019,All-Defense,Massimo Lopes Pegna,La Gazzetta dello Sport,Stephen Curry,2,2,4
2018,All-Defense,Dennis Scott,Turner,Avery Bradley,2,2,4
2017,All-Defense,Lisa Shen Yang,Tencent,Eric Gordon,2,2,4
2017,All-Defense,Marcelo Nogueira,Ole,Draymond Green,0,198,4
2017,All-Defense,Richard Walker,Gaston Gazette,Karl-Anthony Towns,2,2,4
2016,All-Defense,Sean Deveney,The Sporting News,Victor Oladipo,2,2,4
2015,All-Defense,Tony Fiorentino,Sun Sports,Hassan Whiteside,2,2,4
2014,All-Defense,Al McCoy,KTAR Radio,Matt Barnes,2,2,4
2014,All-Defense,Cedric Maxwell,WEEI Radio,Dwyane Wade,2,2,4
2014,All-Rook,Kevin Calabro,ESPN Radio,Victor Oladipo,0,248,4
