year,voter_name,affiliation,yr_contrary,num_awards_voted
2014,Al McCoy,KTAR Radio,10.616140552270299,9
2015,Hubie Brown,ESPN,8.969656703739997,9
2016,Eric Hasseltine,92.9 FM ESPN/680 AM ESPN,9.557225342836208,9
2017,Richard Walker,Gaston Gazette,10.61557867060812,9
2018,Dennis Scott,Turner,8.496439955028167,9
2019,Kennegh Lau,BesTV,9.632790896791901,9
2020,Greg Logan,Newsday,10.384037913194392,9
2021,Max Haupt,DPA,11.70717076402681,9
2022,Rod Boone,Charlotte Observer,11.460845426784747,9
2023,Eduardo Barao,BAND,11.939559468243932,10
2024,Tolis Kotzias,SDNA,16.590344859238265,10
