player,award,year,tot_points,num_voters,avg_yr_contrary_of_voter,avg_yr_contrary,contrary_over_avg
AJ Griffin,All-Rook,2023,26,26,6.368251905262688,6.6418334078780275,-0.27358150261533964
Aaron Brooks,SMOY,2015,1,1,7.387618144763213,4.726113731477222,2.661504413285991
Aaron Gordon,All-Defense,2023,1,1,6.695224679278363,6.6418334078780275,0.053391271400335505
Aaron Gordon,All-Defense,2024,6,6,6.981183927855001,6.8597363230641974,0.12144760479080396
Aaron Gordon,All-Rook,2015,5,4,5.889660903642243,4.726113731477222,1.1635471721650212
Aaron Gordon,MIP,2018,2,2,5.729517441531466,5.549352103020974,0.1801653385104922
Aaron Gordon,MIP,2023,1,1,10.058513603033214,6.6418334078780275,3.4166801951551866
Aaron Holiday,All-Rook,2019,1,1,5.049171739691793,5.31777793582901,-0.2686061961372177
Aaron Nesmith,All-Defense,2024,1,1,6.597624471090493,6.8597363230641974,-0.262111851973704
Aaron Nesmith,MIP,2024,1,1,10.05115732699811,6.8597363230641974,3.191421003933913
Al Horford,All-Defense,2015,1,1,3.7991733505127274,4.726113731477222,-0.9269403809644943
Al Horford,All-Defense,2016,7,6,6.001953172884853,5.029551126515527,0.9724020463693268
Al Horford,All-Defense,2018,85,61,5.465609346730151,5.549352103020974,-0.08374275629082284
Al Horford,All-Defense,2019,4,4,5.411418006465837,5.31777793582901,0.09364007063682678
Al Horford,All-Defense,2022,2,1,9.191463162258021,7.213270448282488,1.9781927139755329
Al Horford,All-NBA,2015,64,34,5.422159793608849,4.726113731477222,0.6960460621316269
Al Horford,All-NBA,2016,76,30,5.479802621589553,5.029551126515527,0.45025149507402595
Al Horford,All-NBA,2017,1,1,9.563319478258956,6.663877893976087,2.8994415842828687
Al Horford,All-NBA,2018,32,30,5.6615159881909545,5.549352103020974,0.11216388516998066
Al Horford,DPOY,2016,1,1,4.044527994860725,5.029551126515527,-0.9850231316548017
Al Horford,DPOY,2018,37,19,5.7724614789350985,5.549352103020974,0.22310937591412472
Al Horford,DPOY,2022,3,1,9.191463162258021,7.213270448282488,1.9781927139755329
Al Jefferson,All-NBA,2014,191,87,5.399021808284977,4.974371596027344,0.42465021225763344
Al Jefferson,MIP,2014,4,2,4.306861088732898,4.974371596027344,-0.6675105072944456
Al Jefferson,MVP,2014,34,18,5.702482062217882,4.974371596027344,0.7281104661905387
Al-Farouq Aminu,All-Defense,2017,1,1,8.458258923394558,6.663877893976087,1.7943810294184708
Al-Farouq Aminu,All-Defense,2018,2,2,6.587554683512528,5.549352103020974,1.0382025804915544
Alec Burks,MIP,2014,1,1,7.899108859138735,4.974371596027344,2.9247372631113917
Aleksej Pokusevski,All-Rook,2021,1,1,9.787674526174285,5.858733065384888,3.9289414607893978
Alex Abrines,All-Rook,2017,4,4,8.70768628003427,6.663877893976087,2.043808386058183
Alex Caruso,All-Defense,2021,5,5,5.925809893861977,5.858733065384888,0.06707682847708973
Alex Caruso,All-Defense,2022,5,4,8.488933656341946,7.213270448282488,1.2756632080594574
Alex Caruso,All-Defense,2023,125,75,6.368064640270704,6.6418334078780275,-0.27376876760732305
