year,voter_name,affiliation,yr_contrary,num_awards_voted
2014,A. Sherrod Blakely,Comcast SportsNet,4.861536596248079,5
2014,Aaron Falk,Salt Lake Tribune,5.871943593048873,9
2014,Adrian Chavarria,KEYH 850 AM,4.750288438041409,5
2014,Al Iannazzone,Newsday,1.8967153468498086,4
2014,Al McCoy,KTAR Radio,10.616140552270299,9
2014,Alan Horton,WCCO 830-AM,5.539678564418462,9
2014,Andy Vasquez,Bergen Record,2.4309702288520465,4
2014,Anthony Slater,KTAR Radio,2.702399894738524,6
2014,Baxter Holmes,Boston Globe,3.1135085361144084,5
2014,Bill Land,Spurs Television,6.8894689574068115,9
2014,Bill Oram,Orange County Register,5.344400852249421,7
2014,Bill Reiter,Foxsports.com,4.8319572895102665,9
2014,Bill Schoening,WOAI Radio,5.934730038086449,9
2014,Bill Simmons,Grantland,6.540852139435491,9
2014,Bill Wennington,ESPN AM 1000,2.653652201629358,3
2014,Bill Worrell,Comcast SportsNet Houston,3.8893831513673596,4
2014,Bob Cooney,Philadelphia Daily News,7.965251965174201,9
2014,Bob Fitzgerald,Comcast SportsNet Bay Area,4.980766794691668,5
2014,Bob Rathbun,Fox Sports South,5.544968169164868,9
2014,Brendan Brown,MSG Network,4.767091052712777,4
2014,Brian Davis,Fox Sports Oklahoma,4.870197218259129,7
2014,Brian Sieman,KFWB News Talk 980 AM/KWKW,4.289564725301582,6
2014,Brian Wheeler,Fox Sports Radio/620AM,6.845818409970522,7
2014,Brian Windhorst,ESPN.com,5.955427506661194,9
2014,Candace Buckner,Indianapolis Star,7.587014849689692,9
2014,Cedric Maxwell,WEEI Radio,4.48264221899688,4
2014,Charles Gardner,Milwaukee Journal Sentinel,7.381182289841402,9
2014,Chris Broussard,ESPN The Magazine,5.452985001303215,9
2014,Chris Carrino,WFAN (660),1.5501747845490477,3
2014,Chris Dempsey,Denver Post,5.0152057486939405,7
2014,Chris Denari,Fox Sports Indiana,5.6689600591901605,9
2014,Chris Haynes,Comcast SportsNet NW,3.1444444521161574,6
2014,Chris Mannix,Sports Illustrated,6.7441262899327095,9
2014,Chris Marlowe,Altitude Sports & Entertainment,4.008482544138388,7
2014,Chris Sheridan,Sheridanhoops.com,7.72210854718182,9
2014,Chuck Cooperstein,ESPN 103.3,0.5771061504133821,1
2014,Chuck Swirsky,ESPN AM 1000,2.2327430846659606,4
2014,Craig Ackerman,Sportstalk 790 AM,3.2007762641739155,4
2014,Dan Woike,Orange County Register,4.2050228581133755,7
2014,Darnell Mayberry,Oklahoman,4.707305918444756,7
2014,Dave Johnson,106.7 The Fan,5.278369220273022,6
2014,Dave McMenamin,ESPNLosAngeles.com,3.854368940108277,7
2014,David Aldridge,TNT,6.922010574081108,9
2014,David Mayo,Mlive Media Group,6.2285213947516835,7
2014,David Steele,Fox Sports Florida,3.692081746115063,5
2014,Dei Lynam,Comcast SportsNet,5.980948336043791,9
2014,Dell Curry,SportSouth,2.8962906324338062,4
2014,Dennis Neumann,ESPN 580 AM,4.348920685395276,6
2014,Diamond Leung,Bay Area News Group/Contra Costa Times,2.962833752062356,5
2014,Dominique Wilkins,Fox Sports South,8.692419973823323,9
2014,Doug Smith,The Toronto Star,7.116342711812918,9
2014,Dwain Price,Ft. Worth Star Telegam,6.219996521131,7
2014,Eddie Sefko,Dallas Morning News,7.163397770039379,7
2014,Eric Hasseltine,92.9 FM ESPN/680 AM,7.706459254755362,9
2014,Eric Reid,Sun Sports,0.7981241508027228,2
2014,Eric Smith,SportsNet 590 The Fan,2.3789678993530483,4
2014,Ernie Johnson,TNT,5.368532789921445,9
2014,Ethan Skolnick,Bleacher Report,1.602635536744994,3
2014,Fran Blinebury,NBA.com,6.251992552687697,9
2014,Frank Isola,New York Daily News,3.1669581293248443,4
2014,Fred McLeod,Fox Sports Ohio,5.428158789834819,9
2014,Gary Gerould,CSN-CA,4.971235528271388,9
2014,Gary Washburn,Boston Globe,7.899108859138735,9
2014,George Blaha,WXYT / Fox Sports Detroit,6.075201424847471,7
