voter_name,affiliation,year,award,player,points_given,tot_pts,sq_pt_diff
Mike Crispino,MSG Network,2015,MVP,Stephen Curry,1,1198,68.54299621416983
Greg Logan,Newsday,2020,DPOY,Andre Drummond,5,5,25
Tim Bontemps,ESPN,2019,COY,David Joerger,5,5,25
Richard Walker,Gaston Gazette,2019,SMOY,Dennis Schroder,5,5,25
Ron Tillery,Memphis Commercial-Appeal,2017,MIP,Mike Conley,5,5,25
Cedric Maxwell,WEEI Radio,2015,MIP,DeMarre Carroll,5,5,25
Tom Heinsohn,Comcast SportsNet,2015,MIP,Tyler Zeller,5,5,25
Michael Smith,Prime Ticket,2014,MIP,Kevin Durant,5,5,25
Ailene Voisin,Sacramento Bee,2017,All-NBA,Nikola Jokic,5,12,24.297928782777266
Steve Kerr,TNT,2014,ROY,Tim Hardaway Jr.,5,23,23.558001189767992
Duane Rankin,Arizona Republic,2020,All-Defense,James Harden,2,2,4
Greg Logan,Newsday,2020,All-Defense,Andre Drummond,2,2,4
Greg Logan,Newsday,2020,All-Defense,Luka Doncic,2,2,4
Massimo Lopes Pegna,La Gazzetta dello Sport,2019,All-Defense,Stephen Curry,2,2,4
Dennis Scott,Turner,2018,All-Defense,Avery Bradley,2,2,4
Lisa Shen Yang,Tencent,2017,All-Defense,Eric Gordon,2,2,4
Richard Walker,Gaston Gazette,2017,All-Defense,Karl-Anthony Towns,2,2,4
Sean Deveney,The Sporting News,2016,All-Defense,Victor Oladipo,2,2,4
Tony Fiorentino,Sun Sports,2015,All-Defense,Hassan Whiteside,2,2,4
Al McCoy,KTAR Radio,2014,All-Defense,Matt Barnes,2,2,4
Cedric Maxwell,WEEI Radio,2014,All-Defense,Dwyane Wade,2,2,4
Bill Simmons,The Ringer,2018,All-Rook,Milos Teodosic,2,3,3.95969799000102
