voter_name,affiliation,year,award,player,points_given,num_ballots,tot_pts,avg_pts,abs_pt_diff,sq_pt_diff
A. Sherrod Blakely,Comcast SportsNet,2014,All-Defense,Roy Hibbert,2,123,76,0.6065573770491803,1.3934426229508197,1.9416823434560602
Aaron Falk,Salt Lake Tribune,2014,All-Defense,Anthony Davis,2,123,62,0.4918032786885246,1.5081967213114753,2.274657350174684
Al McCoy,KTAR Radio,2014,All-Defense,Matt Barnes,2,123,2,0,2,4
Alan Horton,WCCO 830-AM,2014,All-Defense,Jimmy Butler,2,123,103,0.8278688524590164,1.1721311475409837,1.3738914270357432
Anthony Slater,Oklahoman,2014,All-Defense,Anthony Davis,2,123,62,0.4918032786885246,1.5081967213114753,2.274657350174684
Bill Land,Spurs Television,2014,All-Defense,Kawhi Leonard,2,123,89,0.7131147540983607,1.2868852459016393,1.6560736361193227
Bill Reiter,Foxsports.com,2014,All-Defense,Anthony Davis,2,123,62,0.4918032786885246,1.5081967213114753,2.274657350174684
Bill Schoening,WOAI Radio,2014,All-Defense,Tony Allen,2,123,60,0.47540983606557374,1.5245901639344264,2.3243751679656013
Bill Simmons,Grantland,2014,All-Defense,Patrick Beverley,2,123,112,0.9016393442622951,1.098360655737705,1.2063961300725614
Bill Wennington,ESPN AM 1000,2014,All-Defense,Jimmy Butler,2,123,103,0.8278688524590164,1.1721311475409837,1.3738914270357432
Bill Worrell,Comcast SportsNet Houston,2014,All-Defense,Dwight Howard,2,123,26,0.19672131147540983,1.8032786885245902,3.251814028486966
Bob Cooney,Philadelphia Daily News,2014,All-Defense,Tony Parker,2,123,4,0.01639344262295082,1.9836065573770492,3.934694974469229
Bob Rathbun,Fox Sports South,2014,All-Defense,DeAndre Jordan,2,123,63,0.5,1.5,2.25
Brendan Brown,MSG Network,2014,All-Defense,Wesley Matthews,2,123,4,0.01639344262295082,1.9836065573770492,3.934694974469229
Brian Davis,Fox Sports Oklahoma,2014,All-Defense,Stephen Curry,2,123,3,0.00819672131147541,1.9918032786885247,3.9672803009943567
Brian Sieman,KFWB News Talk 980 AM/KWKW,2014,All-Defense,Anthony Davis,2,123,62,0.4918032786885246,1.5081967213114753,2.274657350174684
Brian Wheeler,Fox Sports Radio/620AM,2014,All-Defense,Tim Duncan,2,123,45,0.3524590163934426,1.6475409836065573,2.7143912926632625
Brian Windhorst,ESPN.com,2014,All-Defense,Taj Gibson,2,123,21,0.1557377049180328,1.8442622950819672,3.401303413061005
Candace Buckner,Indianapolis Star,2014,All-Defense,Mike Conley,2,123,21,0.1557377049180328,1.8442622950819672,3.401303413061005
Cedric Maxwell,WEEI Radio,2014,All-Defense,Dwyane Wade,2,123,2,0,2,4
Charles Gardner,Milwaukee Journal Sentinel,2014,All-Defense,Anthony Davis,2,123,62,0.4918032786885246,1.5081967213114753,2.274657350174684
Chris Broussard,ESPN The Magazine,2014,All-Defense,Roy Hibbert,2,123,76,0.6065573770491803,1.3934426229508197,1.9416823434560602
Chris Denari,Fox Sports Indiana,2014,All-Defense,Mike Conley,2,123,21,0.1557377049180328,1.8442622950819672,3.401303413061005
Chris Mannix,Sports Illustrated,2014,All-Defense,Roy Hibbert,2,123,76,0.6065573770491803,1.3934426229508197,1.9416823434560602
Chris Marlowe,Altitude Sports & Entertainment,2014,All-Defense,Avery Bradley,2,123,5,0.02459016393442623,1.9754098360655739,3.902244020424617
Chris Sheridan,Sheridanhoops.com,2014,All-Defense,P.J. Tucker,2,123,13,0.09016393442622951,1.9098360655737705,3.6474737973662994
Dave Johnson,106.7 The Fan,2014,All-Defense,Trevor Ariza,2,123,5,0.02459016393442623,1.9754098360655739,3.902244020424617
Dave McMenamin,ESPNLosAngeles.com,2014,All-Defense,Tony Allen,2,123,60,0.47540983606557374,1.5245901639344264,2.3243751679656013
David Aldridge,TNT,2014,All-Defense,Lance Stephenson,2,123,14,0.09836065573770492,1.901639344262295,3.6162321956463312
David Mayo,Mlive Media Group,2014,All-Defense,Ricky Rubio,2,123,19,0.13934426229508196,1.860655737704918,3.4620397742542326
Dei Lynam,Comcast SportsNet,2014,All-Defense,Tony Allen,2,123,60,0.47540983606557374,1.5245901639344264,2.3243751679656013
Dennis Neumann,ESPN 580 AM,2014,All-Defense,Patrick Beverley,2,123,112,0.9016393442622951,1.098360655737705,1.2063961300725614
Dominique Wilkins,Fox Sports South,2014,All-Defense,Dwight Howard,2,123,26,0.19672131147540983,1.8032786885245902,3.251814028486966
Doug Smith,Toronto Star,2014,All-Defense,Patrick Beverley,2,123,112,0.9016393442622951,1.098360655737705,1.2063961300725614
Dwain Price,Ft. Worth Star Telegam,2014,All-Defense,John Wall,2,123,8,0.04918032786885246,1.9508196721311475,3.805697393173878
Eddie Sefko,Dallas Morning News,2014,All-Defense,DeAndre Jordan,2,123,63,0.5,1.5,2.25
Eric Hasseltine,92.9 FM ESPN/680 AM,2014,All-Defense,Tim Duncan,2,123,45,0.3524590163934426,1.6475409836065573,2.7143912926632625
Ernie Johnson,TNT,2014,All-Defense,Roy Hibbert,2,123,76,0.6065573770491803,1.3934426229508197,1.9416823434560602
Fran Blinebury,NBA.com,2014,All-Defense,Kawhi Leonard,2,123,89,0.7131147540983607,1.2868852459016393,1.6560736361193227
Frank Isola,New York Daily News,2014,All-Defense,Kirk Hinrich,2,123,7,0.040983606557377046,1.959016393442623,3.837745229776942
Fred McLeod,Fox Sports Ohio,2014,All-Defense,DeAndre Jordan,2,123,63,0.5,1.5,2.25
Gary Gerould,CSN-CA,2014,All-Defense,DeAndre Jordan,2,123,63,0.5,1.5,2.25
Gary Washburn,Boston Globe,2014,All-Defense,Anthony Davis,2,123,62,0.4918032786885246,1.5081967213114753,2.274657350174684
Grant Napear,CSN-CA,2014,All-Defense,Tony Allen,2,123,60,0.47540983606557374,1.5245901639344264,2.3243751679656013
Howard Beck,Bleacher Report,2014,All-Defense,Kevin Durant,2,123,10,0.06557377049180328,1.9344262295081966,3.7420048374092985
Hubie Brown,ESPN,2014,All-Defense,Kawhi Leonard,2,123,89,0.7131147540983607,1.2868852459016393,1.6560736361193227
Israel Gutierrez,ESPN.com,2014,All-Defense,Jimmy Butler,2,123,103,0.8278688524590164,1.1721311475409837,1.3738914270357432
JA Adande,ESPN.com,2014,All-Defense,Lance Stephenson,2,123,14,0.09836065573770492,1.901639344262295,3.6162321956463312
Jack Armstrong,SportsNet/TSN,2014,All-Defense,Dwight Howard,2,123,26,0.19672131147540983,1.8032786885245902,3.251814028486966
Jason Jones,Sacramento Bee,2014,All-Defense,Mike Conley,2,123,21,0.1557377049180328,1.8442622950819672,3.401303413061005
Jason Kosmicki,Altitude Radio Network,2014,All-Defense,Kawhi Leonard,2,123,89,0.7131147540983607,1.2868852459016393,1.6560736361193227
Jason Lloyd,Akron Beacon Journal,2014,All-Defense,Jimmy Butler,2,123,103,0.8278688524590164,1.1721311475409837,1.3738914270357432
Jeff McDonald,San Antonio Express-News,2014,All-Defense,Patrick Beverley,2,123,112,0.9016393442622951,1.098360655737705,1.2063961300725614
Jeff Zillgitt,USA Today,2014,All-Defense,Lance Stephenson,2,123,14,0.09836065573770492,1.901639344262295,3.6162321956463312
Jerry Zgoda,Minneapolis Star Tribune,2014,All-Defense,Jimmy Butler,2,123,103,0.8278688524590164,1.1721311475409837,1.3738914270357432
Jim Paschke,Fox Sports Wisconsin,2014,All-Defense,Anthony Davis,2,123,62,0.4918032786885246,1.5081967213114753,2.274657350174684
Jim Petersen,Fox Sports North,2014,All-Defense,Anthony Davis,2,123,62,0.4918032786885246,1.5081967213114753,2.274657350174684
Jody Genessy,Deseret News,2014,All-Defense,Roy Hibbert,2,123,76,0.6065573770491803,1.3934426229508197,1.9416823434560602
Joe Cowley,Chicago Sun-Times,2014,All-Defense,Jimmy Butler,2,123,103,0.8278688524590164,1.1721311475409837,1.3738914270357432
Joe Freeman,The Oregonian,2014,All-Defense,Patrick Beverley,2,123,112,0.9016393442622951,1.098360655737705,1.2063961300725614
Joel Meyers,Fox Sports New Orleans,2014,All-Defense,Kawhi Leonard,2,123,89,0.7131147540983607,1.2868852459016393,1.6560736361193227
John Denton,OrlandoMagic.com,2014,All-Defense,Mike Conley,2,123,21,0.1557377049180328,1.8442622950819672,3.401303413061005
John Reid,New Orleans Times Picayune,2014,All-Defense,LeBron James,2,123,134,1.0819672131147542,0.9180327868852458,0.8427841977962911
Jon Barry,ESPN Radio,2014,All-Defense,Tony Allen,2,123,60,0.47540983606557374,1.5245901639344264,2.3243751679656013
Jonathan Feigen,Houston Chronicle,2014,All-Defense,Tony Allen,2,123,60,0.47540983606557374,1.5245901639344264,2.3243751679656013
Jose Paneda,Univision Radio 710am/Mix,2014,All-Defense,LeBron James,2,123,134,1.0819672131147542,0.9180327868852458,0.8427841977962911
Keith Pompey,Philadelphia Inquirer,2014,All-Defense,Anthony Davis,2,123,62,0.4918032786885246,1.5081967213114753,2.274657350174684
Ken Berger,CBSSports.com,2014,All-Defense,Chris Bosh,1,123,4,0.02459016393442623,0.9754098360655737,0.9514243482934694
Kevin Arnovitz,ESPN.com,2014,All-Defense,Ricky Rubio,2,123,19,0.13934426229508196,1.860655737704918,3.4620397742542326
Kevin Calabro,ESPN Radio,2014,All-Defense,Jimmy Butler,2,123,103,0.8278688524590164,1.1721311475409837,1.3738914270357432
Kevin Ding,Bleacher Report,2014,All-Defense,Ricky Rubio,2,123,19,0.13934426229508196,1.860655737704918,3.4620397742542326
Lang Whitaker,NBA.com,2014,All-Defense,Patrick Beverley,2,123,112,0.9016393442622951,1.098360655737705,1.2063961300725614
Marc Spears,Yahoo! Sports,2014,All-Defense,Anthony Davis,2,123,62,0.4918032786885246,1.5081967213114753,2.274657350174684
Marc Stein,ESPN.com,2014,All-Defense,Tim Duncan,2,123,45,0.3524590163934426,1.6475409836065573,2.7143912926632625
Mark Boyle,WIBC,2014,All-Defense,Jimmy Butler,2,123,103,0.8278688524590164,1.1721311475409837,1.3738914270357432
Marv Albert,TNT,2014,All-Defense,Shaun Livingston,2,123,3,0.00819672131147541,1.9918032786885247,3.9672803009943567
Mary Schmitt Boyer,Cleveland Plain Dealer,2014,All-Defense,Jimmy Butler,2,123,103,0.8278688524590164,1.1721311475409837,1.3738914270357432
Matt Bullard,Comcast SportsNet Houston,2014,All-Defense,Kawhi Leonard,2,123,89,0.7131147540983607,1.2868852459016393,1.6560736361193227
Matt Devlin,SportsNet/TSN,2014,All-Defense,Kyle Lowry,2,123,10,0.06557377049180328,1.9344262295081966,3.7420048374092985
Matt Pinto,WWLS / 98.1,2014,All-Defense,Victor Oladipo,2,123,3,0.00819672131147541,1.9918032786885247,3.9672803009943567
Matt Winer,NBA TV,2014,All-Defense,Tim Duncan,2,123,45,0.3524590163934426,1.6475409836065573,2.7143912926632625
