voter_name,affiliation,year,yr_contrary,num_awards_voted
A. Sherrod Blakely,Comcast SportsNet,2014,45.06758526781605,5
Aaron Falk,Salt Lake Tribune,2014,56.04532015142634,9
Adrian Chavarria,KEYH 850 AM,2014,33.95657557886283,5
Al Iannazzone,Newsday,2014,13.265000681408917,4
Al McCoy,KTAR Radio,2014,102.52813328025798,9
Alan Horton,WCCO 830-AM,2014,50.62901580980136,9
Andy Vasquez,Bergen Record,2014,18.223847971095378,4
Anthony Slater,Oklahoman,2014,31.269602461023517,6
Baxter Holmes,Boston Globe,2014,22.25352640848725,5
Bill Land,Spurs Television,2014,68.67047349601671,9
Bill Oram,Orange County Register,2014,46.475361795907325,7
Bill Reiter,Foxsports.com,2014,46.63087219779006,9
Bill Schoening,WOAI Radio,2014,55.95434904226814,9
Bill Simmons,Grantland,2014,56.52504602538929,9
Bill Wennington,ESPN AM 1000,2014,31.21554915548307,3
Bill Worrell,Comcast SportsNet Houston,2014,48.1442228006888,4
Bob Cooney,Philadelphia Daily News,2014,71.94717313197819,9
Bob Fitzgerald,Comcast SportsNet Bay Area,2014,47.69069058300183,5
Bob Rathbun,Fox Sports South,2014,53.855673427967524,9
Brendan Brown,MSG Network,2014,35.56933715525157,4
Brian Davis,Fox Sports Oklahoma,2014,51.066525717918715,7
Brian Sieman,KFWB News Talk 980 AM/KWKW,2014,42.457177354675984,6
Brian Wheeler,Fox Sports Radio/620AM,2014,53.01452020154078,7
Brian Windhorst,ESPN.com,2014,54.79913466853109,9
Candace Buckner,Indianapolis Star,2014,69.46366690769644,9
Cedric Maxwell,WEEI Radio,2014,55.18753448278214,4
Charles Gardner,Milwaukee Journal Sentinel,2014,67.99340488269415,9
Chris Broussard,ESPN The Magazine,2014,57.70540767106484,9
Chris Carrino,WFAN (660),2014,22.16419622092508,3
Chris Dempsey,Denver Post,2014,33.89073422450562,7
Chris Denari,Fox Sports Indiana,2014,50.36276691110365,9
Chris Haynes,Comcast SportsNet NW,2014,32.51247318146234,6
Chris Mannix,Sports Illustrated,2014,67.99206356199073,9
Chris Marlowe,Altitude Sports & Entertainment,2014,43.485658707599136,7
Chris Sheridan,Sheridanhoops.com,2014,73.96204099197885,9
Chuck Cooperstein,ESPN 103.3,2014,11.644655850884384,1
Chuck Swirsky,ESPN AM 1000,2014,16.764147421522058,4
Craig Ackerman,Sportstalk 790 AM,2014,19.406432519302903,4
Dan Woike,Orange County Register,2014,29.157104327995025,7
Darnell Mayberry,Oklahoman,2014,44.85117826554478,7
Dave Johnson,106.7 The Fan,2014,47.24011114859763,6
Dave McMenamin,ESPNLosAngeles.com,2014,31.69882804130292,7
David Aldridge,TNT,2014,63.048847006615624,9
David Mayo,Mlive Media Group,2014,61.20784499987826,7
David Steele,Fox Sports Florida,2014,40.14848216763362,5
Dei Lynam,Comcast SportsNet,2014,60.58293941571692,9
Dell Curry,SportSouth,2014,14.158852274580605,4
Dennis Neumann,ESPN 580 AM,2014,43.41292571574766,6
Diamond Leung,Bay Area News Group/Contra Costa Times,2014,24.34137658993699,5
Dominique Wilkins,Fox Sports South,2014,80.42780550444431,9
Doug Smith,Toronto Star,2014,64.9994243285935,9
Dwain Price,Ft. Worth Star Telegam,2014,50.414383652271844,7
Eddie Sefko,Dallas Morning News,2014,58.88449448890575,7
Eric Hasseltine,92.9 FM ESPN/680 AM,2014,74.43282528166131,9
Eric Reid,Sun Sports,2014,12.485129566756854,2
Eric Smith,SportsNet 590 The Fan,2014,29.647384688140377,4
Ernie Johnson,TNT,2014,53.44789639053693,9
Ethan Skolnick,Bleacher Report,2014,10.305470884074019,3
Fran Blinebury,NBA.com,2014,56.90048267843738,9
Frank Isola,New York Daily News,2014,39.44631707282534,4
Fred McLeod,Fox Sports Ohio,2014,55.99801366045376,9
Gary Gerould,CSN-CA,2014,52.299237002694426,9
Gary Washburn,Boston Globe,2014,69.19671133726942,9
George Blaha,WXYT / Fox Sports Detroit,2014,51.92905937393542,7
Glenn Consor,106.7 The Fan,2014,52.093084850302624,7
Grant Napear,CSN-CA,2014,54.557465837089225,9
Howard Beck,Bleacher Report,2014,54.78905168905808,9
Hubie Brown,ESPN,2014,57.608682658385995,9
Ian Eagle,YES Network,2014,25.700535728298487,4
Ira Winderman,South Florida Sun Sentinel,2014,24.643837724641067,3
Israel Gutierrez,ESPN.com,2014,59.53488905474307,9
JA Adande,ESPN.com,2014,57.85980070315911,9
Jack Armstrong,SportsNet/TSN,2014,20.014021905288143,3
Jason Jackson,Sun Sports,2014,34.07284580529528,2
Jason Jones,Sacramento Bee,2014,55.5092474930506,9
Jason Kosmicki,Altitude Radio Network,2014,67.97540885361369,7
Jason Lloyd,Akron Beacon Journal,2014,59.897915814136894,9
Jeff McDonald,San Antonio Express-News,2014,55.435214143265576,9
Jeff Turner,Fox Sports Florida,2014,27.090197722361502,5
Jeff Zillgitt,USA Today,2014,54.09593625052844,9
Jerry Zgoda,Minneapolis Star Tribune,2014,49.006080441820224,9
Jim Barnett,Comcast SportsNet Bay Area,2014,53.283467226731176,5
Jim Paschke,Fox Sports Wisconsin,2014,58.76357546404206,9
Jim Petersen,Fox Sports North,2014,58.77706344917914,9
Jody Genessy,Deseret News,2014,51.61493063160398,9
Joe Cowley,Chicago Sun-Times,2014,31.016836957992474,4
Joe Freeman,The Oregonian,2014,52.24080217391947,7
Joe Goodman,Miami Herald,2014,20.812038648682,3
Joel Meyers,Fox Sports New Orleans,2014,55.5130516808498,9
John Denton,OrlandoMagic.com,2014,38.65931738660436,5
John Reid,New Orleans Times Picayune,2014,53.43175487027452,9
Jon Barry,ESPN Radio,2014,54.909598472105856,9
Jonathan Feigen,Houston Chronicle,2014,49.102713862532916,9
Jose Paneda,Radio Paz WACC,2014,14.725699204561474,3
K.C. Johnson,Chicago Tribune,2014,32.76781170177785,4
Keith Pompey,Philadelphia Inquirer,2014,61.177156090934545,9
Ken Berger,CBSSports.com,2014,49.49719167836091,9
Kevin Arnovitz,ESPN.com,2014,65.26668971361431,9
Kevin Calabro,ESPN Radio,2014,51.68285805751829,9
Kevin Ding,Bleacher Report,2014,62.07835856465092,7
Lang Whitaker,NBA.com,2014,45.00560361893577,9
Leo Rautins,SportsNet/TSN,2014,17.18538248433343,3
Marc Berman,New York Post,2014,26.024521737471616,3
Marc Spears,Yahoo! Sports,2014,55.8192046811529,9
Marc Stein,ESPN.com,2014,48.22697148170146,9
Mark Boyle,WIBC,2014,49.82877614383112,9
Mark Followill,TXA-21/Fox Sports Net,2014,53.958225949434336,7
Marv Albert,TNT,2014,51.573448325906895,9
Mary Schmitt Boyer,Cleveland Plain Dealer,2014,47.509757953643295,9
Matt Bullard,Comcast SportsNet Houston,2014,31.45251615270478,5
Matt Devlin,SportsNet/TSN,2014,31.252661289360198,4
Matt Pinto,WWLS / 98.1,2014,45.73940009317285,7
Matt Winer,NBA TV,2014,58.645405368556524,9
Michael Smith,Prime Ticket,2014,53.680011900195,7
Michael Wallace,ESPN.com,2014,20.115792176112524,3
Michael Wilbon,ESPN,2014,56.096677766402706,9
Mike Breen,ABC Sports,2014,51.35215964194604,9
Mike Gorman,Comcast SportsNet,2014,18.253941183550435,4
Mike Inglis,WIOD Radio,2014,26.165397766612323,3
Mike Monroe,San Antonio Express-News,2014,57.1741582705983,9
Mike Rice,Comcast SportsNet NW,2014,73.1778752104204,7
Mike Tirico,ESPN,2014,52.90909585903703,9
Mitch Lawrence,New York Daily News,2014,80.90386595834161,9
NBA Fan Vote,NBA.com Fan Vote,2014,3.9645115357331857,1
Neil Funk,Comcast SportsNet,2014,11.168887536933706,3
Nick Friedell,ESPNChicago.com,2014,15.093096451677141,4
Paul Coro,Arizona Republic,2014,52.05805212224729,9
Paul Jones,Raptors Radio,2014,13.547118688102202,4
Pete Pranica,Fox Sports Tennessee,2014,66.23240707848561,9
Phil Chenier,Comcast SportsNet,2014,53.378878953095715,7
Ralph Lawler,Prime Ticket,2014,45.96868369162346,7
Ric Bucher,Bleacher Report,2014,68.5728385198051,9
Rick Bonnell,Charlotte Observer,2014,61.28287341196781,9
Rod Boone,Newsday,2014,22.293508806066164,4
Ron Boone,ROOT Sports,2014,56.71755269292602,9
Ron Tillery,Memphis Commercial Appeal,2014,87.96826906986361,9
Rusty Simmons,San Francisco Chronicle,2014,32.47118287500217,5
Sam Amick,USA Today,2014,48.42855082483743,9
Sam Smith,Bulls.com,2014,62.642445064304226,9
Scott Hastings,Altitude Sports & Entertainment,2014,62.06503711001548,6
Sean Deveney,The Sporting News,2014,70.33716977927446,9
Sean Grande,WEEI Radio,2014,19.517937921087597,5
Sean Kelley,Pelicans Radio,2014,74.56482058067456,9
Shaun Powell,Sports on Earth,2014,46.96556056071381,9
Spero Dedes,MSG Network,2014,31.033316444776315,3
Stacey King,Comcast SportsNet,2014,22.29389501395759,4
Stefan Bondy,New York Daily News,2014,30.64549785412883,4
Stephanie Ready,SportSouth,2014,50.02567507169171,5
Steve Aschburner,NBA.com,2014,55.86484556153623,9
Steve Buckhantz,Comcast SportsNet,2014,55.00689481304503,7
Steve Holman,Hawks Radio Network,2014,71.13047311925673,9
Steve Kerr,TNT,2014,70.05895289356377,9
Steve Martin,Bobcats Radio,2014,74.71174785960274,9
Steve Popper,The Record,2014,16.543597085118368,4
Ted Davis,WTMJ Radio,2014,71.23178803118711,9
Tim Bontemps,New York Post,2014,24.374502424130377,4
Tim Capstraw,WFAN (660),2014,34.291586118645775,4
Tim Kempton,KTAR Radio,2014,72.52232345516254,9
Tim Roye,KNBR Radio,2014,29.22185760342077,6
Tom Heinsohn,Comcast SportsNet,2014,23.435817398106536,4
Tony Fiorentino,Sun Sports,2014,17.092243951950767,3
Vince Ellis,Detroit Free Press,2014,45.71537897363272,6
Vincent Goodwill,Detroit News,2014,33.52760020468718,7
Walt Frazier,MSG Network,2014,21.811336657992534,4
Zach Lowe,Grantland,2014,63.965488521290034,9
A. Sherrod Blakely,Comcast SportsNet,2015,32.46203651269476,6
Aaron Falk,Salt Lake Tribune,2015,46.06073817390775,9
Adrian Chavarria,KEYH 850 AM,2015,22.419825435610438,4
Al Iannazzone,Newsday,2015,20.83983869452645,4
Alan Horton,WCCO 830-AM,2015,42.02067788145424,9
Andre Aldridge,Fox Sports South,2015,47.27374484096187,9
Andy Vasquez,Bergen Record,2015,21.295716663595776,4
Anthony Slater,Oklahoman,2015,24.041194426084967,6
Antonio Harvey,Fox Sports Radio/620AM,2015,50.83985840647854,6
Bill Land,Fox Sports Southwest,2015,62.92604230965478,9
Bill Oram,Orange County Register,2015,48.30533975733156,9
Bill Reiter,Foxsports.com,2015,38.20119865613814,9
Bill Schoening,WOAI Radio,2015,49.99401429457282,9
Bill Simmons,Grantland,2015,55.74135029606542,9
Bill Wennington,WMVP AM 1000,2015,30.36075666912377,5
Bill Worrell,Root Sports Southwest,2015,36.191015493154055,5
Bob Cooney,Philadelphia Daily News,2015,36.045482965611754,5
Bob Fitzgerald,Comcast SportsNet Bay Area,2015,53.97572999577379,6
Bob Rathbun,Fox Sports South,2015,74.0544464231471,9
Brendan Brown,MSG Network,2015,26.623930753297397,3
Brian Davis,Fox Sports Oklahoma,2015,54.05421829202941,7
Brian Sieman,The Beast 980 AM FM,2015,40.25378454773893,7
Brian Windhorst,ESPN.com,2015,46.217373788063064,9
Candace Buckner,Indianapolis Star,2015,63.05928141548376,9
Cedric Maxwell,WEEI Radio,2015,60.11493246358865,6
Charles Gardner,Milwaukee Journal Sentinel,2015,48.708369996360545,9
Chris Broussard,ESPN The Magazine,2015,56.6834420449306,9
Chris Carrino,WFAN (660),2015,18.749185709175162,4
Chris Dempsey,Denver Post,2015,43.126739592410054,7
Chris Denari,Fox Sports Indiana,2015,42.55206444794093,9
Chris Haynes,Northeast Ohio Media Group/Cleveland.com,2015,50.245328206434884,6
Chris Mannix,Sports Illustrated,2015,47.74676963026766,9
Chris Marlowe,Altitude Sports & Entertainment,2015,41.81776791771123,6
Chris Sheridan,Sheridanhoops.com,2015,58.79463791068747,9
Chuck Cooperstein,ESPN 103.3,2015,30.70563126689767,7
Chuck Swirsky,WMVP AM 1000,2015,20.846605384881002,4
Craig Ackerman,Sportstalk 790 AM,2015,34.273498834075866,5
Dan Woike,Orange County Register,2015,38.44366617828407,7
Dante Marchitelli,Fox Sports Florida,2015,35.95814759350472,5
Darnell Mayberry,Oklahoman,2015,44.267454211121056,8
Dave Johnson,106.7 The Fan,2015,38.70700065020287,6
Dave McMenamin,ESPN.com,2015,53.065656517850464,7
David Aldridge,TNT,2015,63.30732118435474,9
David Mayo,Mlive Media Group,2015,73.13942852626197,9
David Steele,Fox Sports Florida,2015,28.929748064885004,5
Dei Lynam,Comcast SportsNet,2015,14.496861823494804,4
Dell Curry,Fox Sports Carolinas/SportSouth,2015,13.819401902462905,4
Dennis Neumann,ESPN 580 AM,2015,43.8320121685191,6
Diamond Leung,Bay Area News Group/Contra Costa Times,2015,30.294338753262497,5
Doris Burke,ESPN,2015,52.879675865854296,9
Doug Smith,The Toronto Star,2015,60.64778201757951,9
Dwain Price,Ft. Worth Star Telegam,2015,41.996875874017434,6
Eddie Johnson,Fox Sports Arizona,2015,43.7811773061231,5
Eddie Sefko,Dallas Morning News,2015,51.533583559071864,7
Eric Hasseltine,92.9 FM ESPN/680 AM,2015,53.57031528698855,9
Eric Reid,Sun Sports,2015,23.571145428480584,3
Eric Smith,TSN 1050/Sportsnet 590 The Fan,2015,13.569730011931995,4
Ernie Johnson,TNT,2015,47.79652456378489,9
Ethan Skolnick,Bleacher Report,2015,46.77358944466106,9
Fran Blinebury,NBA.com,2015,65.5965659158676,9
Frank Isola,Sirius Radio/New York Daily News,2015,53.503598264995304,9
Fred McLeod,Fox Sports Ohio,2015,40.66896071620267,7
Gary Gerould,Comcast SportsNet-CA,2015,42.98932345996187,9
Gary Washburn,Boston Globe,2015,55.070882031087386,9
George Blaha,WMGC / Fox Sports Detroit,2015,62.203995779301465,9
Glenn Consor,106.7 The Fan,2015,56.136069470675615,7
Grant Napear,Comcast SportsNet-CA,2015,47.89785915653213,9
Howard Beck,Bleacher Report,2015,56.22297958279632,9
Hubie Brown,ESPN,2015,76.3332476315089,9
Ian Eagle,YES Network,2015,17.795579211537355,4
Ira Winderman,South Florida Sun Sentinel,2015,25.531345469797063,5
Israel Gutierrez,ESPN.com,2015,58.56839354418229,9
JA Adande,ESPN.com,2015,46.36011273167474,9
Jabari Young,Comcast SportsNet NW,2015,53.28282916366765,7
Jack Armstrong,SportsNet/TSN,2015,11.034667022682251,2
Jason Jackson,Sun Sports,2015,21.332802827878496,4
Jason Jones,Sacramento Bee,2015,53.18689492756332,9
Jason Kosmicki,Altitude Radio Network,2015,48.3680569204245,7
Jason Lloyd,Akron Beacon Journal,2015,59.024981363883775,7
Jeff McDonald,San Antonio Express-News,2015,49.865497997181144,9
Jeff Turner,Fox Sports Florida,2015,28.60203373177344,5
Jeff Zillgitt,USA Today,2015,53.25990632620624,9
Jerry Zgoda,Minneapolis Star Tribune,2015,47.18520385523769,9
Jim Barnett,Comcast SportsNet Bay Area,2015,22.14407510327739,5
Jim Paschke,Fox Sports Wisconsin,2015,53.80382387778542,9
Jim Petersen,Fox Sports North,2015,47.71115606424842,9
Jody Genessy,Deseret News,2015,49.78588277835178,9
Joe Cowley,Chicago Sun-Times,2015,12.192207460981267,3
Joe Freeman,The Oregonian,2015,41.134388082168535,7
Joe Goodman,Miami Herald,2015,35.631886855473624,5
Joel Meyers,Fox Sports New Orleans,2015,43.9824010603282,9
John Denton,OrlandoMagic.com,2015,35.64425017783997,6
John Reid,New Orleans Times Picayune,2015,49.60290537867476,9
Jon Barry,ESPN Radio,2015,50.608391433606265,9
Jonathan Feigen,Houston Chronicle,2015,53.21069229411936,9
Jose Paneda,WAQI Radio,2015,29.80983601318446,3
K.C. Johnson,Chicago Tribune,2015,19.674276752427193,4
Keith Pompey,Philadelphia Inquirer,2015,43.12894957818703,5
Ken Berger,CBSSports.com,2015,57.25765352669479,9
Kevin Arnovitz,ESPN.com,2015,52.669200209970676,9
Kevin Calabro,ESPN Radio,2015,58.66346398563984,9
Kevin Ding,Bleacher Report,2015,74.16019108428019,9
Lang Whitaker,NBA.com,2015,38.83842245723001,9
Leo Rautins,SportsNet/TSN,2015,22.512087579448533,3
Malik Rose,Comcast SportsNet,2015,15.344529946137886,4
Marc Berman,New York Post,2015,32.1986481031407,5
Marc Spears,Yahoo! Sports,2015,43.58558671176007,9
Marc Stein,ESPN.com,2015,53.457504593061245,9
Marc Zumoff,Comcast SportsNet,2015,32.82503163008019,5
Mark Boyle,107.5/1070 The Fan,2015,54.34135716634157,9
Mark Followill,TXA-21/Fox Sports Net,2015,39.6533192533321,7
Mark Medina,LA Daily News,2015,41.79347607604559,9
Marv Albert,TNT,2015,43.74696537151126,9
Matt Bullard,Root Sports Southwest,2015,34.37804513759482,4
Matt Devlin,SportsNet/TSN,2015,7.526268456044312,2
Matt Pinto,WWLS / 98.1,2015,43.6373314421077,6
Matt Winer,NBA TV,2015,41.92888180927709,9
Michael Smith,Prime Ticket,2015,30.779853136481993,6
Michael Wilbon,ESPN,2015,51.01605477271745,9
Mike Breen,ABC Sports,2015,52.730292922159435,9
Mike Crispino,MSG Network,2015,33.283449496688434,3
Mike Fratello,TNT,2015,66.23292431523635,9
Mike Gorman,Comcast SportsNet,2015,41.197042056840715,5
Mike Inglis,WAXY Radio,2015,15.512583388123405,3
Mike Monroe,San Antonio Express-News,2015,45.89361396872487,9
