voter_name,affiliation,first_fwd,first_fwd_2,first_cen,first_g,first_g_2,second_fwd,second_fwd_2,second_cen,second_g,second_g_2,year,award,all_defensive_first_team,all_defensive_first_team_2,all_defensive_first_team_3,all_defensive_first_team_4,all_defensive_first_team_5,all_defensive_second_team,all_defensive_second_team_2,all_defensive_second_team_3,all_defensive_second_team_4,all_defensive_second_team_5
David Aldridge,The Athletic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,All-Defense,"Rudy Gobert, Minnesota","Anthony Davis, Los Angeles Lakers","Luguentz Dort, Oklahoma City","Bam Adebayo, Miami","Alex Caruso, Chicago","Jarrett Allen, Cleveland","Jalen Suggs, Orlando","Herbert Jones, New Orleans","Victor Wembanyama, San Antonio","Jrue Holiday, Boston"
Sam Amick,The Athletic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,All-Defense,"Alex Caruso, Chicago","Herbert Jones, New Orleans","Victor Wembanyama, San Antonio","Anthony Davis, Los Angeles Lakers","Rudy Gobert, Minnesota","Bam Adebayo, Miami","Jalen Suggs, Orlando","Jrue Holiday, Boston","Jaden McDaniels, Minnesota","Luguentz Dort, Oklahoma City"
Jason Anderson,Sacramento Bee,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,All-Defense,"Rudy Gobert, Minnesota","Victor Wembanyama, San Antonio","Bam Adebayo, Miami","Herbert Jones, New Orleans","Alex Caruso, Chicago","Anthony Davis, Los Angeles Lakers","Jalen Suggs, Orlando","Derrick White, Boston","Shai Gilgeous-Alexander, Oklahoma City","Jaden McDaniels, Minnesota"
Greg Anthony,WarnerMedia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,All-Defense,"Jalen Suggs, Orlando","Derrick White, Boston","Anthony Davis, Los Angeles Lakers","Rudy Gobert, Minnesota","Herbert Jones, New Orleans","Alex Caruso, Chicago","Victor Wembanyama, San Antonio","Chet Holmgren, Okahoma City","Bam Adebayo, Miami","Jaden McDaniels, Minnesota"
Steve Aschburner,NBA.com,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,All-Defense,"Bam Adebayo, Miami","Alex Caruso, Chicago","Rudy Gobert, Minnesota","Herbert Jones, New Orleans","Victor Wembanyama, San Antonio","Jarrett Allen, Cleveland","Anthony Davis, Los Angeles Lakers","Luguentz Dort, Oklahoma City","Brook Lopez, Milwaukee","Jaden McDaniels, Minnesota"
Maxime Aubin,L'Equipe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,All-Defense,"Victor Wembanyama, San Antonio","Anthony Davis, Los Angeles Lakers","Rudy Gobert, Minnesota","Bam Adebayo, Miami","Herbert Jones, New Orleans","Chet Holmgren, Okahoma City","Jaden McDaniels, Minnesota","Derrick White, Boston","Jalen Suggs, Orlando","Jrue Holiday, Boston"
Evan Barnes,Newsday,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,All-Defense,"Victor Wembanyama, San Antonio","Rudy Gobert, Minnesota","Derrick White, Boston","Bam Adebayo, Miami","Jalen Suggs, Orlando","Alex Caruso, Chicago","Jrue Holiday, Boston","Herbert Jones, New Orleans","Brook Lopez, Milwaukee","Chet Holmgren, Okahoma City"
Howard Beck,The Ringer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,All-Defense,"Rudy Gobert, Minnesota","Bam Adebayo, Miami","Herbert Jones, New Orleans","Victor Wembanyama, San Antonio","Alex Caruso, Chicago","Jalen Suggs, Orlando","Derrick White, Boston","Jaden McDaniels, Minnesota","Luguentz Dort, Oklahoma City","Kawhi Leonard, LA Clippers"
Jason Beede,Orlando Sentinel,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,All-Defense,"Rudy Gobert, Minnesota","Bam Adebayo, Miami","Victor Wembanyama, San Antonio","Herbert Jones, New Orleans","Jalen Suggs, Orlando","Anthony Davis, Los Angeles Lakers","Alex Caruso, Chicago","Derrick White, Boston","Kawhi Leonard, LA Clippers","Jaden McDaniels, Minnesota"
Tim Bontemps,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,All-Defense,"Alex Caruso, Chicago","Derrick White, Boston","Bam Adebayo, Miami","Rudy Gobert, Minnesota","Anthony Davis, Los Angeles Lakers","Jalen Suggs, Orlando","Herbert Jones, New Orleans","Victor Wembanyama, San Antonio","Chet Holmgren, Okahoma City","Aaron Gordon, Denver"
