voter_name,affiliation,forward,forward_2,center,guard,guard_2,forward_3,forward_4,center_2,guard_3,guard_4,forward_5,forward_6,center_3,guard_5,guard_6,year,award,all_nba_first_team,all_nba_first_team_2,all_nba_first_team_3,all_nba_first_team_4,all_nba_first_team_5,all_nba_second_team,all_nba_second_team_2,all_nba_second_team_3,all_nba_second_team_4,all_nba_second_team_5,all_nba_third_team,all_nba_third_team_2,all_nba_third_team_3,all_nba_third_team_4,all_nba_third_team_5
David Aldridge,The Athletic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,All-NBA,"Nikola Jokic, Denver","Shai Gilgeous-Alexander, Oklahoma City","Luka Doncic, Dallas","Giannis Antetokounmpo, Milwaukee","Jayson Tatum, Boston","Jalen Brunson, New York","Anthony Edwards, Minnesota","Devin Booker, Phoenix","Kevin Durant, Phoenix","LeBron James, Los Angeles Lakers","De'Aaron Fox, Sacramento","Anthony Davis, Los Angeles Lakers","Jaylen Brown, Boston","Kawhi Leonard, LA Clippers","Tyrese Maxey, Philadelphia"
Sam Amick,The Athletic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,All-NBA,"Nikola Jokic, Denver","Luka Doncic, Dallas","Shai Gilgeous-Alexander, Oklahoma City","Giannis Antetokounmpo, Milwaukee","Jayson Tatum, Boston","Jalen Brunson, New York","Anthony Edwards, Minnesota","Kevin Durant, Phoenix","Kawhi Leonard, LA Clippers","Anthony Davis, Los Angeles Lakers","LeBron James, Los Angeles Lakers","Tyrese Haliburton, Indiana","Domantas Sabonis, Sacramento","Stephen Curry, Golden State","Devin Booker, Phoenix"
Jason Anderson,Sacramento Bee,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,All-NBA,"Nikola Jokic, Denver","Shai Gilgeous-Alexander, Oklahoma City","Luka Doncic, Dallas","Giannis Antetokounmpo, Milwaukee","Jayson Tatum, Boston","Anthony Edwards, Minnesota","Jalen Brunson, New York","Kawhi Leonard, LA Clippers","Kevin Durant, Phoenix","Anthony Davis, Los Angeles Lakers","Stephen Curry, Golden State","Devin Booker, Phoenix","LeBron James, Los Angeles Lakers","Domantas Sabonis, Sacramento","Tyrese Haliburton, Indiana"
Greg Anthony,WarnerMedia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,All-NBA,"Giannis Antetokounmpo, Milwaukee","Luka Doncic, Dallas","Shai Gilgeous-Alexander, Oklahoma City","Nikola Jokic, Denver","Jayson Tatum, Boston","LeBron James, Los Angeles Lakers","Kevin Durant, Phoenix","Anthony Davis, Los Angeles Lakers","Jalen Brunson, New York","Anthony Edwards, Minnesota","Domantas Sabonis, Sacramento","Tyrese Haliburton, Indiana","Kawhi Leonard, LA Clippers","Jaylen Brown, Boston","Stephen Curry, Golden State"
Steve Aschburner,NBA.com,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,All-NBA,"Giannis Antetokounmpo, Milwaukee","Luka Doncic, Dallas","Shai Gilgeous-Alexander, Oklahoma City","Nikola Jokic, Denver","Jayson Tatum, Boston","Jalen Brunson, New York","Kevin Durant, Phoenix","Anthony Edwards, Minnesota","Kawhi Leonard, LA Clippers","Domantas Sabonis, Sacramento","Stephen Curry, Golden State","Anthony Davis, Los Angeles Lakers","Tyrese Haliburton, Indiana","LeBron James, Los Angeles Lakers","Tyrese Maxey, Philadelphia"
Maxime Aubin,L'Equipe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,All-NBA,"Nikola Jokic, Denver","Luka Doncic, Dallas","Jayson Tatum, Boston","Giannis Antetokounmpo, Milwaukee","Shai Gilgeous-Alexander, Oklahoma City","Jalen Brunson, New York","Victor Wembanyama, San Antonio","Anthony Edwards, Minnesota","Rudy Gobert, Minnesota","Kevin Durant, Phoenix","Anthony Davis, Los Angeles Lakers","LeBron James, Los Angeles Lakers","Devin Booker, Phoenix","Kawhi Leonard, LA Clippers","Stephen Curry, Golden State"
Evan Barnes,Newsday,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,All-NBA,"Nikola Jokic, Denver","Luka Doncic, Dallas","Shai Gilgeous-Alexander, Oklahoma City","Jayson Tatum, Boston","Jalen Brunson, New York","Anthony Edwards, Minnesota","Kawhi Leonard, LA Clippers","Tyrese Haliburton, Indiana","Kevin Durant, Phoenix","Giannis Antetokounmpo, Milwaukee","Domantas Sabonis, Sacramento","Jaylen Brown, Boston","Devin Booker, Phoenix","Anthony Davis, Los Angeles Lakers","LeBron James, Los Angeles Lakers"
Howard Beck,The Ringer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,All-NBA,"Nikola Jokic, Denver","Shai Gilgeous-Alexander, Oklahoma City","Giannis Antetokounmpo, Milwaukee","Luka Doncic, Dallas","Jayson Tatum, Boston","LeBron James, Los Angeles Lakers","Kevin Durant, Phoenix","Anthony Davis, Los Angeles Lakers","Stephen Curry, Golden State","Jalen Brunson, New York","Anthony Edwards, Minnesota","Tyrese Haliburton, Indiana","Devin Booker, Phoenix","Kawhi Leonard, LA Clippers","Zion Williamson, New Orleans"
Jason Beede,Orlando Sentinel,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,All-NBA,"Luka Doncic, Dallas","Nikola Jokic, Denver","Giannis Antetokounmpo, Milwaukee","Shai Gilgeous-Alexander, Oklahoma City","Jayson Tatum, Boston","Jalen Brunson, New York","Kevin Durant, Phoenix","Kawhi Leonard, LA Clippers","Anthony Edwards, Minnesota","Anthony Davis, Los Angeles Lakers","LeBron James, Los Angeles Lakers","Domantas Sabonis, Sacramento","Tyrese Haliburton, Indiana","Stephen Curry, Golden State","Paolo Banchero, Orlando"
Tim Bontemps,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,All-NBA,"Nikola Jokic, Denver","Luka Doncic, Dallas","Shai Gilgeous-Alexander, Oklahoma City","Giannis Antetokounmpo, Milwaukee","Jalen Brunson, New York","Jayson Tatum, Boston","Kawhi Leonard, LA Clippers","Kevin Durant, Phoenix","Devin Booker, Phoenix","LeBron James, Los Angeles Lakers","Anthony Edwards, Minnesota","Tyrese Haliburton, Indiana","Paul George, LA Clippers","Stephen Curry, Golden State","Anthony Davis, Los Angeles Lakers"
Rod Boone,Charlotte Observer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,All-NBA,"Shai Gilgeous-Alexander, Oklahoma City","Luka Doncic, Dallas","Kevin Durant, Phoenix","Giannis Antetokounmpo, Milwaukee","Nikola Jokic, Denver","Jalen Brunson, New York","Stephen Curry, Golden State","LeBron James, Los Angeles Lakers","Jayson Tatum, Boston","Anthony Davis, Los Angeles Lakers","De'Aaron Fox, Sacramento","Jaylen Brown, Boston","Anthony Edwards, Minnesota","Devin Booker, Phoenix","Kawhi Leonard, LA Clippers"
Chris Broussard,Fox Sports,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,All-NBA,"Luka Doncic, Dallas","Shai Gilgeous-Alexander, Oklahoma City","Nikola Jokic, Denver","Giannis Antetokounmpo, Milwaukee","Jayson Tatum, Boston","Jalen Brunson, New York","Anthony Edwards, Minnesota","Anthony Davis, Los Angeles Lakers","Kevin Durant, Phoenix","Kawhi Leonard, LA Clippers","Stephen Curry, Golden State","Devin Booker, Phoenix","Domantas Sabonis, Sacramento","LeBron James, Los Angeles Lakers","Jaylen Brown, Boston"
Ric Bucher,FS1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,All-NBA,"Nikola Jokic, Denver","Shai Gilgeous-Alexander, Oklahoma City","Luka Doncic, Dallas","Giannis Antetokounmpo, Milwaukee","Jayson Tatum, Boston","Anthony Davis, Los Angeles Lakers","Jalen Brunson, New York","Domantas Sabonis, Sacramento","Stephen Curry, Golden State","Kevin Durant, Phoenix","Kawhi Leonard, LA Clippers","Bam Adebayo, Miami","Anthony Edwards, Minnesota","Tyrese Haliburton, Indiana","Victor Wembanyama, San Antonio"
Miguel Candeias,A Bola,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,All-NBA,"Nikola Jokic, Denver","Luka Doncic, Dallas","Shai Gilgeous-Alexander, Oklahoma City","Giannis Antetokounmpo, Milwaukee","Jayson Tatum, Boston","Jalen Brunson, New York","Kevin Durant, Phoenix","Anthony Edwards, Minnesota","Kawhi Leonard, LA Clippers","Anthony Davis, Los Angeles Lakers","Domantas Sabonis, Sacramento","LeBron James, Los Angeles Lakers","Stephen Curry, Golden State","Tyrese Haliburton, Indiana","Jaylen Brown, Boston"
