voter_name,affiliation,first,first_2,first_3,first_4,first_5,second,second_2,second_3,second_4,second_5,year,award
Marv Albert,Turner,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)","Kuzma, Kyle (LAL)","Markkanen, Lauri (CHI)","Bogdanovic, Bogdan (SAC)","Ball, Lonzo (LAL)","Anunoby, OG (TOR)","Adebayo, Bam (MIA)","Collins, John (ATL)",2018,All-Rook
John Schuhmann,NBA.com,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)","Kuzma, Kyle (LAL)","Collins, John (ATL)","Markkanen, Lauri (CHI)","Bogdanovic, Bogdan (SAC)","Ball, Lonzo (LAL)","Adebayo, Bam (MIA)","Anunoby, OG (TOR)",2018,All-Rook
Stefan Bondy,New York Daily News,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)","Markkanen, Lauri (CHI)","Kuzma, Kyle (LAL)","Smith Jr., Dennis (DAL)","Bogdanovic, Bogdan (SAC)","Ball, Lonzo (LAL)","Adebayo, Bam (MIA)","Anunoby, OG (TOR)",2018,All-Rook
Flavio Tranquillo,Sky Italia,"Simmons, Ben (PHI)","Tatum, Jayson (BOS)","Mitchell, Donovan (UTA)","Kuzma, Kyle (LAL)","Markkanen, Lauri (CHI)","Ball, Lonzo (LAL)","Collins, John (ATL)","Bogdanovic, Bogdan (SAC)","Adebayo, Bam (MIA)","Anunoby, OG (TOR)",2018,All-Rook
Michael Wilbon,ABC/ESPN,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)","Kuzma, Kyle (LAL)","Markkanen, Lauri (CHI)","Smith Jr., Dennis (DAL)","Collins, John (ATL)","Bogdanovic, Bogdan (SAC)","Adebayo, Bam (MIA)","Fox, De'Aaron (SAC)",2018,All-Rook
Reggie Miller,Turner,"Mitchell, Donovan (UTA)","Simmons, Ben (PHI)","Tatum, Jayson (BOS)","Markkanen, Lauri (CHI)","Kuzma, Kyle (LAL)","Collins, John (ATL)","Smith Jr., Dennis (DAL)","Bogdanovic, Bogdan (SAC)","Adebayo, Bam (MIA)","Ball, Lonzo (LAL)",2018,All-Rook
Eddie Sefko,Dallas Morning News,"Ball, Lonzo (LAL)","Smith Jr., Dennis (DAL)","Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Markkanen, Lauri (CHI)","Tatum, Jayson (BOS)","Fox, De'Aaron (SAC)","Collins, John (ATL)","Adebayo, Bam (MIA)","Kuzma, Kyle (LAL)",2018,All-Rook
Brian Windhorst,ESPN.com,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)","Markkanen, Lauri (CHI)","Kuzma, Kyle (LAL)","Bogdanovic, Bogdan (SAC)","Smith Jr., Dennis (DAL)","Collins, John (ATL)","Adebayo, Bam (MIA)","Ball, Lonzo (LAL)",2018,All-Rook
Rob Mahoney,Sports Illustrated,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)","Markkanen, Lauri (CHI)","Collins, John (ATL)","Ball, Lonzo (LAL)","Smith Jr., Dennis (DAL)","Kuzma, Kyle (LAL)","Adebayo, Bam (MIA)","Bogdanovic, Bogdan (SAC)",2018,All-Rook
Brent Barry,Turner,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)","Kuzma, Kyle (LAL)","Ball, Lonzo (LAL)","Bogdanovic, Bogdan (SAC)","Anunoby, OG (TOR)","Markkanen, Lauri (CHI)","Adebayo, Bam (MIA)","Collins, John (ATL)",2018,All-Rook
Ailene Voisin,Sacramento Bee,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)","Kuzma, Kyle (LAL)","Bogdanovic, Bogdan (SAC)","Ball, Lonzo (LAL)","Collins, John (ATL)","Markkanen, Lauri (CHI)","Adebayo, Bam (MIA)","Smith Jr., Dennis (DAL)",2018,All-Rook
Rachel Nichols,ABC/ESPN,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Kuzma, Kyle (LAL)","Tatum, Jayson (BOS)","Markkanen, Lauri (CHI)","Bogdanovic, Bogdan (SAC)","Ball, Lonzo (LAL)","Smith Jr., Dennis (DAL)","Adebayo, Bam (MIA)","Collins, John (ATL)",2018,All-Rook
Jeff Zillgitt,USA Today,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)","Kuzma, Kyle (LAL)","Markkanen, Lauri (CHI)","Smith Jr., Dennis (DAL)","Ball, Lonzo (LAL)","Bogdanovic, Bogdan (SAC)","Allen, Jarrett (BKN)","Anunoby, OG (TOR)",2018,All-Rook
Joe Cowley,Chicago Sun‐Times,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)","Kuzma, Kyle (LAL)","Markkanen, Lauri (CHI)","Smith Jr., Dennis (DAL)","Ball, Lonzo (LAL)","Fox, De'Aaron (SAC)","Allen, Jarrett (BKN)","Collins, John (ATL)",2018,All-Rook
David Aldridge,Turner,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)","Kuzma, Kyle (LAL)","Markkanen, Lauri (CHI)","Bogdanovic, Bogdan (SAC)","Collins, John (ATL)","Smith Jr., Dennis (DAL)","Allen, Jarrett (BKN)","Brooks, Dillon (MEM)",2018,All-Rook
Jason Lloyd,The Athletic,"Tatum, Jayson (BOS)","Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Kuzma, Kyle (LAL)","Markkanen, Lauri (CHI)","Smith Jr., Dennis (DAL)","Bogdanovic, Bogdan (SAC)","Ball, Lonzo (LAL)","Anunoby, OG (TOR)","Adebayo, Bam (MIA)",2018,All-Rook
Matt Velazquez,Milwaukee Journal Sentinel,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)","Markkanen, Lauri (CHI)","Kuzma, Kyle (LAL)","Ball, Lonzo (LAL)","Smith Jr., Dennis (DAL)","Collins, John (ATL)","Anunoby, OG (TOR)","Jackson, Josh (PHX)",2018,All-Rook
Scott Bordow,Arizona Republic,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)","Ball, Lonzo (LAL)","Markkanen, Lauri (CHI)","Smith Jr., Dennis (DAL)","Jackson, Josh (PHX)","Kuzma, Kyle (LAL)","Anunoby, OG (TOR)","Fox, De'Aaron (SAC)",2018,All-Rook
Lee Jenkins,Sports Illustrated,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)","Kuzma, Kyle (LAL)","Ball, Lonzo (LAL)","Markkanen, Lauri (CHI)","Collins, John (ATL)","Smith Jr., Dennis (DAL)","Anunoby, OG (TOR)","Jackson, Josh (PHX)",2018,All-Rook
Cassidy Hubbarth,ESPN,"Young, Trae (ATL)","Doncic, Luka (DAL)","Jackson Jr., Jaren (MEM)","Gilgeous-Alexander, Shai (LAC)","Ayton, Deandre (PHX)","Shamet, Landry (LAC)","Huerter, Kevin (ATL)","Carter Jr., Wendell (CHI)","Bagley III, Marvin (SAC)","Robinson, Mitchell (NYK)",2019,All-Rook
Howard Beck,Bleacher Report,"Doncic, Luka (DAL)","Young, Trae (ATL)","Ayton, Deandre (PHX)","Jackson Jr., Jaren (MEM)","Gilgeous-Alexander, Shai (LAC)","Shamet, Landry (LAC)","Robinson, Mitchell (NYK)","Sexton, Collin (CLE)","Bagley III, Marvin (SAC)","Bridges, Mikal (PHX)",2019,All-Rook
Zach Lowe,ESPN,"Ayton, Deandre (PHX)","Doncic, Luka (DAL)","Young, Trae (ATL)","Gilgeous-Alexander, Shai (LAC)","Jackson Jr., Jaren (MEM)","Robinson, Mitchell (NYK)","Shamet, Landry (LAC)","Sexton, Collin (CLE)","Bagley III, Marvin (SAC)","Bridges, Mikal (PHX)",2019,All-Rook
