voter_name,affiliation,first_place_five_pts,second_place_three_pts,third_place_one_pt,year,award
Marv Albert,Turner,"Williams, Monty (PHX)","Thibodeau, Tom (NYK)","Snyder, Quin (UTA)",2021,COY
Sam Amick,The Athletic,"Williams, Monty (PHX)","Thibodeau, Tom (NYK)","Snyder, Quin (UTA)",2021,COY
Greg Anthony,Turner,"Williams, Monty (PHX)","Snyder, Quin (UTA)","Rivers, Doc (PHI)",2021,COY
Kevin Arnovitz,ESPN,"Williams, Monty (PHX)","Snyder, Quin (UTA)","McMillan, Nate (ATL)",2021,COY
Steve Aschburner,NBA.com,"Snyder, Quin (UTA)","Williams, Monty (PHX)","Thibodeau, Tom (NYK)",2021,COY
Evan Barnes,Memphis Commercial Appeal,"Williams, Monty (PHX)","Thibodeau, Tom (NYK)","McMillan, Nate (ATL)",2021,COY
Jon Barry,ESPN,"Williams, Monty (PHX)","Thibodeau, Tom (NYK)","Snyder, Quin (UTA)",2021,COY
Howard Beck,Sports Illustrated,"Williams, Monty (PHX)","Thibodeau, Tom (NYK)","Snyder, Quin (UTA)",2021,COY
Stefan Bondy,New York Daily News,"Thibodeau, Tom (NYK)","Williams, Monty (PHX)","Snyder, Quin (UTA)",2021,COY
Tim Bontemps,ESPN,"Thibodeau, Tom (NYK)","Williams, Monty (PHX)","Snyder, Quin (UTA)",2021,COY
Chris Broussard,Fox Sports,"Williams, Monty (PHX)","Snyder, Quin (UTA)","Thibodeau, Tom (NYK)",2021,COY
Ric Bucher,Sirius Radio,"Snyder, Quin (UTA)","Thibodeau, Tom (NYK)","Williams, Monty (PHX)",2021,COY
Doris Burke,ESPN,"Williams, Monty (PHX)","Thibodeau, Tom (NYK)","Snyder, Quin (UTA)",2021,COY
Shams Charania,The Athletic/Stadium,"Williams, Monty (PHX)","Thibodeau, Tom (NYK)","Snyder, Quin (UTA)",2021,COY
Anthony Chiang,Miami Herald,"Thibodeau, Tom (NYK)","Williams, Monty (PHX)","Snyder, Quin (UTA)",2021,COY
Davide Chinellato,La Gazzetta Dello Sport,"Williams, Monty (PHX)","Thibodeau, Tom (NYK)","Rivers, Doc (PHI)",2021,COY
Mauricio Codocea,Clarin (Argentina),"Williams, Monty (PHX)","Thibodeau, Tom (NYK)","Snyder, Quin (UTA)",2021,COY
Jamal Collier,Chicago Tribune,"Thibodeau, Tom (NYK)","Williams, Monty (PHX)","Snyder, Quin (UTA)",2021,COY
Antoni Daimiel,Movistar+,"Rivers, Doc (PHI)","Williams, Monty (PHX)","Thibodeau, Tom (NYK)",2021,COY
Dan Devine,The Ringer,"Williams, Monty (PHX)","Thibodeau, Tom (NYK)","McMillan, Nate (ATL)",2021,COY
Chris Fedor,Cleveland.com,"Thibodeau, Tom (NYK)","Snyder, Quin (UTA)","Williams, Monty (PHX)",2021,COY
Joe Freeman,The Oregonian,"Williams, Monty (PHX)","Thibodeau, Tom (NYK)","Snyder, Quin (UTA)",2021,COY
Vince Goodwill,Yahoo! Sports,"Williams, Monty (PHX)","Thibodeau, Tom (NYK)","McMillan, Nate (ATL)",2021,COY
Kyle Goon,Southern California News Group,"Williams, Monty (PHX)","Snyder, Quin (UTA)","Thibodeau, Tom (NYK)",2021,COY
Michael Grange,Rogers Sportsnet,"Thibodeau, Tom (NYK)","Williams, Monty (PHX)","Nash, Steve (BKN)",2021,COY
Jared Greenberg,Turner,"Thibodeau, Tom (NYK)","Snyder, Quin (UTA)","Williams, Monty (PHX)",2021,COY
Kevin Harlan,Turner,"Thibodeau, Tom (NYK)","Williams, Monty (PHX)","Malone, Michael (DEN)",2021,COY
Zach Harper,The Athletic,"Thibodeau, Tom (NYK)","Snyder, Quin (UTA)","Williams, Monty (PHX)",2021,COY
Max Haupt,DPA,"Snyder, Quin (UTA)","Rivers, Doc (PHI)","Williams, Monty (PHX)",2021,COY
Chris Haynes,Yahoo! Sports,"Williams, Monty (PHX)","Thibodeau, Tom (NYK)","Snyder, Quin (UTA)",2021,COY
