voter_name,affiliation,first_place_five_pts,second_place_three_pts,third_place_one_pt,year,award
David Aldridge,The Athletic,"DeMar Derozan, Chicago","Kyrie Irving, Dallas","Stephen Curry, Golden State",2024,CPOY
Sam Amick,The Athletic,"DeMar Derozan, Chicago","Stephen Curry, Golden State","Nikola Jokic, Denver",2024,CPOY
Jason Anderson,Sacramento Bee,"DeMar Derozan, Chicago","Stephen Curry, Golden State","Nikola Jokic, Denver",2024,CPOY
Greg Anthony,WarnerMedia,"Luka Doncic, Dallas","Jalen Brunson, New York","Stephen Curry, Golden State",2024,CPOY
Steve Aschburner,NBA.com,"DeMar Derozan, Chicago","Stephen Curry, Golden State","Nikola Jokic, Denver",2024,CPOY
Maxime Aubin,L'Equipe,"Stephen Curry, Golden State","Shai Gilgeous-Alexander, Oklahoma City","DeMar Derozan, Chicago",2024,CPOY
Evan Barnes,Newsday,"DeMar Derozan, Chicago","Stephen Curry, Golden State","Jalen Brunson, New York",2024,CPOY
Howard Beck,The Ringer,"Stephen Curry, Golden State","Nikola Jokic, Denver","DeMar Derozan, Chicago",2024,CPOY
Jason Beede,Orlando Sentinel,"Stephen Curry, Golden State","DeMar Derozan, Chicago","Nikola Jokic, Denver",2024,CPOY
Tim Bontemps,ESPN,"DeMar Derozan, Chicago","Stephen Curry, Golden State","Shai Gilgeous-Alexander, Oklahoma City",2024,CPOY
Rod Boone,Charlotte Observer,"Stephen Curry, Golden State","DeMar Derozan, Chicago","Jalen Brunson, New York",2024,CPOY
Chris Broussard,Fox Sports,"Shai Gilgeous-Alexander, Oklahoma City","Nikola Jokic, Denver","Stephen Curry, Golden State",2024,CPOY
Ric Bucher,FS1,"Stephen Curry, Golden State","DeMar Derozan, Chicago","Nikola Jokic, Denver",2024,CPOY
Miguel Candeias,A Bola,"Stephen Curry, Golden State","DeMar Derozan, Chicago","Shai Gilgeous-Alexander, Oklahoma City",2024,CPOY
Tim Cato,The Athletic,"DeMar Derozan, Chicago","Kyrie Irving, Dallas","Nikola Jokic, Denver",2024,CPOY
Shams Charania,The Athletic/Stadium,"DeMar Derozan, Chicago","Shai Gilgeous-Alexander, Oklahoma City","Luka Doncic, Dallas",2024,CPOY
Anthony Chiang,Miami Herald,"DeMar Derozan, Chicago","Shai Gilgeous-Alexander, Oklahoma City","Nikola Jokic, Denver",2024,CPOY
Damichael Cole,Memphis Commercial Appeal,"Stephen Curry, Golden State","LeBron James, Los Angeles Lakers","Jalen Williams, Oklahoma City",2024,CPOY
Antoni Daimiel,Movistar+,"DeMar Derozan, Chicago","Kyrie Irving, Dallas","Nikola Jokic, Denver",2024,CPOY
Dan Devine,Yahoo! Sports,"DeMar Derozan, Chicago","Shai Gilgeous-Alexander, Oklahoma City","Nikola Jokic, Denver",2024,CPOY
Bennett Durando,Denver Post,"DeMar Derozan, Chicago","Nikola Jokic, Denver","Stephen Curry, Golden State",2024,CPOY
James Edwards III,The Athletic,"DeMar Derozan, Chicago","Stephen Curry, Golden State","Shai Gilgeous-Alexander, Oklahoma City",2024,CPOY
Chris Fedor,Cleveland.com,"Stephen Curry, Golden State","DeMar Derozan, Chicago","Kyrie Irving, Dallas",2024,CPOY
Ignacio Garcia,MARCA,"Anthony Edwards, Minnesota","Luka Doncic, Dallas","DeMar Derozan, Chicago",2024,CPOY
Brian Geltzeiler,Sirius Radio,"Shai Gilgeous-Alexander, Oklahoma City","DeMar Derozan, Chicago","Stephen Curry, Golden State",2024,CPOY
Vince Goodwill,Yahoo! Sports,"Stephen Curry, Golden State","DeMar Derozan, Chicago","Kyrie Irving, Dallas",2024,CPOY
Michael Grange,Rogers Sportsnet,"DeMar Derozan, Chicago","Stephen Curry, Golden State","Shai Gilgeous-Alexander, Oklahoma City",2024,CPOY
Jared Greenberg,WarnerMedia,"Stephen Curry, Golden State","Nikola Jokic, Denver","DeMar Derozan, Chicago",2024,CPOY
Mike Greenberg,ESPN,"DeMar Derozan, Chicago","Nikola Jokic, Denver","Stephen Curry, Golden State",2024,CPOY
Will Guillory,The Athletic,"DeMar Derozan, Chicago","Jalen Brunson, New York","Stephen Curry, Golden State",2024,CPOY
Zach Harper,The Athletic,"Stephen Curry, Golden State","DeMar Derozan, Chicago","Nikola Jokic, Denver",2024,CPOY
Kurt Helin,NBCSports.com,"Stephen Curry, Golden State","DeMar Derozan, Chicago","Shai Gilgeous-Alexander, Oklahoma City",2024,CPOY
James Herbert,CBSSports.com,"DeMar Derozan, Chicago","Shai Gilgeous-Alexander, Oklahoma City","Stephen Curry, Golden State",2024,CPOY
Adam Himmelsbach,Boston Globe,"Shai Gilgeous-Alexander, Oklahoma City","DeMar Derozan, Chicago","Stephen Curry, Golden State",2024,CPOY
Cassidy Hubbarth,ESPN,"DeMar Derozan, Chicago","Shai Gilgeous-Alexander, Oklahoma City","Stephen Curry, Golden State",2024,CPOY
Kelly Iko,The Athletic,"DeMar Derozan, Chicago","Shai Gilgeous-Alexander, Oklahoma City","Stephen Curry, Golden State",2024,CPOY
Frank Isola,Sirius Radio,"Shai Gilgeous-Alexander, Oklahoma City","Stephen Curry, Golden State","DeMar Derozan, Chicago",2024,CPOY
Richard Jefferson,ESPN,"Jalen Brunson, New York","Shai Gilgeous-Alexander, Oklahoma City","Nikola Jokic, Denver",2024,CPOY
Ernie Johnson,WarnerMedia,"DeMar Derozan, Chicago","Stephen Curry, Golden State","Shai Gilgeous-Alexander, Oklahoma City",2024,CPOY
Tony Jones,The Athletic,"Shai Gilgeous-Alexander, Oklahoma City","Nikola Jokic, Denver","Stephen Curry, Golden State",2024,CPOY
Marc Kestecher,ESPN,"Stephen Curry, Golden State","DeMar Derozan, Chicago","Shai Gilgeous-Alexander, Oklahoma City",2024,CPOY
Tolis Kotzias,SDNA,"Jayson Tatum, Boston","Shai Gilgeous-Alexander, Oklahoma City","Malik Monk, Sacramento",2024,CPOY
Adam Lefkoe,WarnerMedia,"Stephen Curry, Golden State","Nikola Jokic, Denver","DeMar Derozan, Chicago",2024,CPOY
Rob Mahoney,The Ringer,"Shai Gilgeous-Alexander, Oklahoma City","DeMar Derozan, Chicago","Stephen Curry, Golden State",2024,CPOY
Chris Mannix,Sports Illustrated,"Stephen Curry, Golden State","DeMar Derozan, Chicago","Shai Gilgeous-Alexander, Oklahoma City",2024,CPOY
Jeff McDonald,San Antonio Express-News,"DeMar Derozan, Chicago","Shai Gilgeous-Alexander, Oklahoma City","Nikola Jokic, Denver",2024,CPOY
Steve McGehee,News 9,"Stephen Curry, Golden State","DeMar Derozan, Chicago","Shai Gilgeous-Alexander, Oklahoma City",2024,CPOY
Dave McMenamin,ESPN,"Nikola Jokic, Denver","DeMar Derozan, Chicago","Stephen Curry, Golden State",2024,CPOY
Chao Meng,ESPN (China),"Stephen Curry, Golden State","Shai Gilgeous-Alexander, Oklahoma City","Nikola Jokic, Denver",2024,CPOY
Jonathan Mitchell Fuentes,Cignal,"Shai Gilgeous-Alexander, Oklahoma City","DeMar Derozan, Chicago","Luka Doncic, Dallas",2024,CPOY
