voter_name,affiliation,first_place_five_pts,second_place_three_pts,third_place_one_pt,year,award
Adam Himmelsbach,Boston Globe,"Smart, Marcus (BOS)","Adebayo, Bam (MIA)","Gobert, Rudy (UTA)",2022,DPOY
Anthony Chiang,Miami Herald,"Adebayo, Bam (MIA)","Gobert, Rudy (UTA)","Jackson Jr., Jaren (MEM)",2022,DPOY
Anthony Slater,The Athletic,"Bridges, Mikal (PHX)","Smart, Marcus (BOS)","Gobert, Rudy (UTA)",2022,DPOY
Antoine Bancharel,L'Equipe / Canal+,"Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Bridges, Mikal (PHX)",2022,DPOY
Antoni Daimiel,Movistar+,"Williams III, Robert (BOS)","Bridges, Mikal (PHX)","Green, Draymond (GSW)",2022,DPOY
Bill Oram,The Athletic,"Bridges, Mikal (PHX)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)",2022,DPOY
Bill Reiter,CBSSports.com,"Smart, Marcus (BOS)","Adebayo, Bam (MIA)","Bridges, Mikal (PHX)",2022,DPOY
Bill Simmons,The Ringer,"Smart, Marcus (BOS)","Bridges, Mikal (PHX)","Jackson Jr., Jaren (MEM)",2022,DPOY
Brian Mahoney,Associated Press,"Bridges, Mikal (PHX)","Jackson Jr., Jaren (MEM)","Adebayo, Bam (MIA)",2022,DPOY
Brian Windhorst,ESPN,"Adebayo, Bam (MIA)","Smart, Marcus (BOS)","Gobert, Rudy (UTA)",2022,DPOY
Callie Caplan,Dallas Morning News,"Smart, Marcus (BOS)","Adebayo, Bam (MIA)","Gobert, Rudy (UTA)",2022,DPOY
Cassidy Hubbarth,ESPN,"Smart, Marcus (BOS)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)",2022,DPOY
Chris Broussard,Fox Sports,"Smart, Marcus (BOS)","Gobert, Rudy (UTA)","Antetokounmpo, Giannis (MIL)",2022,DPOY
Chris Fedor,Clevleand.com,"Smart, Marcus (BOS)","Adebayo, Bam (MIA)","Bridges, Mikal (PHX)",2022,DPOY
Chris Herring,Sports Illustrated,"Smart, Marcus (BOS)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)",2022,DPOY
Chris Kirschner,The Athletic,"Adebayo, Bam (MIA)","Jackson Jr., Jaren (MEM)","Bridges, Mikal (PHX)",2022,DPOY
Chris Mannix,Sports Illustrated,"Smart, Marcus (BOS)","Gobert, Rudy (UTA)","Bridges, Mikal (PHX)",2022,DPOY
Christos Tsaltas,SDNA.gr,"Antetokounmpo, Giannis (MIL)","Adebayo, Bam (MIA)","Jackson Jr., Jaren (MEM)",2022,DPOY
Daisuke Sugiura,Nihon Keizai Shimbun,"Smart, Marcus (BOS)","Gobert, Rudy (UTA)","Adebayo, Bam (MIA)",2022,DPOY
Dan Devine,The Ringer,"Adebayo, Bam (MIA)","Smart, Marcus (BOS)","Bridges, Mikal (PHX)",2022,DPOY
Dave McMenamin,ESPN,"Antetokounmpo, Giannis (MIL)","Smart, Marcus (BOS)","Gobert, Rudy (UTA)",2022,DPOY
Dave Pasch,ESPN,"Smart, Marcus (BOS)","Bridges, Mikal (PHX)","Antetokounmpo, Giannis (MIL)",2022,DPOY
David Aldridge,The Athletic,"Smart, Marcus (BOS)","Bridges, Mikal (PHX)","Jackson Jr., Jaren (MEM)",2022,DPOY
Davide Chinellato,La Gazzetta dello Sport,"Bridges, Mikal (PHX)","Smart, Marcus (BOS)","Jackson Jr., Jaren (MEM)",2022,DPOY
Dennis Scott,Turner,"Jackson Jr., Jaren (MEM)","Holiday, Jrue (MIL)","Adebayo, Bam (MIA)",2022,DPOY
Diego Martinez,Reforma,"Smart, Marcus (BOS)","Adebayo, Bam (MIA)","Bridges, Mikal (PHX)",2022,DPOY
Doris Burke,ESPN,"Smart, Marcus (BOS)","Adebayo, Bam (MIA)","Gobert, Rudy (UTA)",2022,DPOY
Doug Smith,The Toronto Star,"Bridges, Mikal (PHX)","Smart, Marcus (BOS)","Antetokounmpo, Giannis (MIL)",2022,DPOY
Drew Hill,Daily Memphian,"Jackson Jr., Jaren (MEM)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)",2022,DPOY
Duane Rankin,Arizona Republic,"Bridges, Mikal (PHX)","Antetokounmpo, Giannis (MIL)","Green, Draymond (GSW)",2022,DPOY
Eric Koreen,The Athletic,"Gobert, Rudy (UTA)","Adebayo, Bam (MIA)","Smart, Marcus (BOS)",2022,DPOY
Eric Nehm,The Athletic,"Adebayo, Bam (MIA)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)",2022,DPOY
Eric Walden,Salt Lake Tribune,"Gobert, Rudy (UTA)","Bridges, Mikal (PHX)","Antetokounmpo, Giannis (MIL)",2022,DPOY
Ernie Johnson,Turner,"Bridges, Mikal (PHX)","Smart, Marcus (BOS)","Gobert, Rudy (UTA)",2022,DPOY
Frank Isola,Sirius Radio,"Bridges, Mikal (PHX)","Smart, Marcus (BOS)","Antetokounmpo, Giannis (MIL)",2022,DPOY
Gary Washburn,Boston Globe,"Smart, Marcus (BOS)","Bridges, Mikal (PHX)","Jackson Jr., Jaren (MEM)",2022,DPOY
Greg Anthony,Turner,"Bridges, Mikal (PHX)","Williams III, Robert (BOS)","Adebayo, Bam (MIA)",2022,DPOY
Guillermo Schutz,Televisa (TUDN),"Adebayo, Bam (MIA)","Bridges, Mikal (PHX)","Gobert, Rudy (UTA)",2022,DPOY
Harris Stavrou,Sport24,"Antetokounmpo, Giannis (MIL)","Smart, Marcus (BOS)","Bridges, Mikal (PHX)",2022,DPOY
Howard Beck,Sports Illustrated,"Smart, Marcus (BOS)","Jackson Jr., Jaren (MEM)","Adebayo, Bam (MIA)",2022,DPOY
Jalen Rose,ESPN,"Smart, Marcus (BOS)","Antetokounmpo, Giannis (MIL)","Bridges, Mikal (PHX)",2022,DPOY
James Edwards III,The Athletic,"Jackson Jr., Jaren (MEM)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)",2022,DPOY
Jared Greenberg,Turner,"Bridges, Mikal (PHX)","Smart, Marcus (BOS)","Gobert, Rudy (UTA)",2022,DPOY
Jason Anderson,Sacramento Bee,"Adebayo, Bam (MIA)","Smart, Marcus (BOS)","Jackson Jr., Jaren (MEM)",2022,DPOY
Jason Quick,The Athletic,"Smart, Marcus (BOS)","Bridges, Mikal (PHX)","Thybulle, Matisse (PHI)",2022,DPOY
Jeff McDonald,San Antonio Express-News,"Adebayo, Bam (MIA)","Bridges, Mikal (PHX)","Gobert, Rudy (UTA)",2022,DPOY
Jeff Zillgitt,USA Today,"Jackson Jr., Jaren (MEM)","Bridges, Mikal (PHX)","Gobert, Rudy (UTA)",2022,DPOY
Joe Mussatto,The Oklahoman,"Gobert, Rudy (UTA)","Adebayo, Bam (MIA)","Bridges, Mikal (PHX)",2022,DPOY
Joe Vardon,The Athletic,"Smart, Marcus (BOS)","Jackson Jr., Jaren (MEM)","Gobert, Rudy (UTA)",2022,DPOY
John Schuhmann,NBA.com,"Gobert, Rudy (UTA)","Adebayo, Bam (MIA)","Jackson Jr., Jaren (MEM)",2022,DPOY
Josh Robbins,The Athletic,"Smart, Marcus (BOS)","Bridges, Mikal (PHX)","Jackson Jr., Jaren (MEM)",2022,DPOY
Justin Termine,Sirius Radio,"Smart, Marcus (BOS)","Bridges, Mikal (PHX)","Gobert, Rudy (UTA)",2022,DPOY
K.C. Johnson,NBC Sports Chicago,"Gobert, Rudy (UTA)","Jackson Jr., Jaren (MEM)","Bridges, Mikal (PHX)",2022,DPOY
Keith Pompey,Philadelphia Inquirer,"Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Bridges, Mikal (PHX)",2022,DPOY
Kelly Iko,The Athletic,"Adebayo, Bam (MIA)","Bridges, Mikal (PHX)","Smart, Marcus (BOS)",2022,DPOY
Kendrick Perkins,ESPN,"Smart, Marcus (BOS)","Bridges, Mikal (PHX)","Jackson Jr., Jaren (MEM)",2022,DPOY
Kevin Arnovitz,ESPN,"Gobert, Rudy (UTA)","Antetokounmpo, Giannis (MIL)","Bridges, Mikal (PHX)",2022,DPOY
Kevin Harlan,Turner,"Bridges, Mikal (PHX)","Adebayo, Bam (MIA)","Smart, Marcus (BOS)",2022,DPOY
Kevin O'Connor,The Ringer,"Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Bridges, Mikal (PHX)",2022,DPOY
Kevin Pelton,ESPN,"Gobert, Rudy (UTA)","Horford, Al (BOS)","Adebayo, Bam (MIA)",2022,DPOY
Khobi Price,Orlando Sentinel,"Smart, Marcus (BOS)","Adebayo, Bam (MIA)","Antetokounmpo, Giannis (MIL)",2022,DPOY
Kristian Winfield,New York Daily News,"Smart, Marcus (BOS)","Adebayo, Bam (MIA)","Bridges, Mikal (PHX)",2022,DPOY
Kurt Helin,NBCSports.com,"Smart, Marcus (BOS)","Gobert, Rudy (UTA)","Adebayo, Bam (MIA)",2022,DPOY
Lisa Hsu,Tencent,"Antetokounmpo, Giannis (MIL)","Bridges, Mikal (PHX)","Gobert, Rudy (UTA)",2022,DPOY
Marc Kestecher,ESPN,"Smart, Marcus (BOS)","Bridges, Mikal (PHX)","Antetokounmpo, Giannis (MIL)",2022,DPOY
Mark Jackson,ESPN,"Bridges, Mikal (PHX)","Smart, Marcus (BOS)","Adebayo, Bam (MIA)",2022,DPOY
Mark Medina,NBA.com,"Adebayo, Bam (MIA)","Holiday, Jrue (MIL)","Bridges, Mikal (PHX)",2022,DPOY
Matt Winer,Turner,"Smart, Marcus (BOS)","Bridges, Mikal (PHX)","Jackson Jr., Jaren (MEM)",2022,DPOY
Melissa Rohlin,Fox Sports,"Adebayo, Bam (MIA)","Bridges, Mikal (PHX)","Jackson Jr., Jaren (MEM)",2022,DPOY
Michael C. Wright,NBA.com,"Smart, Marcus (BOS)","Bridges, Mikal (PHX)","Gobert, Rudy (UTA)",2022,DPOY
Michael Grange,Rogers Sportsnet,"Bridges, Mikal (PHX)","Smart, Marcus (BOS)","Jackson Jr., Jaren (MEM)",2022,DPOY
Michael Pina,Sports Illustrated,"Smart, Marcus (BOS)","Jackson Jr., Jaren (MEM)","Adebayo, Bam (MIA)",2022,DPOY
Michael Wilbon,ESPN,"Bridges, Mikal (PHX)","Jackson Jr., Jaren (MEM)","Smart, Marcus (BOS)",2022,DPOY
Mike Greenberg,ESPN,"Bridges, Mikal (PHX)","Smart, Marcus (BOS)","Adebayo, Bam (MIA)",2022,DPOY
Mike Singer,Denver Post,"Jackson Jr., Jaren (MEM)","Bridges, Mikal (PHX)","Gobert, Rudy (UTA)",2022,DPOY
