voter_name,affiliation,first_place_five_pts,second_place_three_pts,third_place_one_pt,year,award
David Aldridge,The Athletic,"Coby White, Chicago","Alperen Sengun, Houston","Jalen Suggs, Orlando",2024,MIP
Sam Amick,The Athletic,"Coby White, Chicago","Jalen Williams, Oklahoma City","Tyrese Maxey, Philadelphia",2024,MIP
Jason Anderson,Sacramento Bee,"Tyrese Maxey, Philadelphia","Coby White, Chicago","Deni Avdija, Washington",2024,MIP
Greg Anthony,WarnerMedia,"Jalen Williams, Oklahoma City","Tyrese Maxey, Philadelphia","Coby White, Chicago",2024,MIP
Steve Aschburner,NBA.com,"Coby White, Chicago","Tyrese Maxey, Philadelphia","Jalen Williams, Oklahoma City",2024,MIP
Maxime Aubin,L'Equipe,"Tyrese Maxey, Philadelphia","Jalen Williams, Oklahoma City","Coby White, Chicago",2024,MIP
Evan Barnes,Newsday,"Coby White, Chicago","Alperen Sengun, Houston","Cam Thomas, Brooklyn",2024,MIP
Howard Beck,The Ringer,"Coby White, Chicago","Tyrese Maxey, Philadelphia","Jalen Suggs, Orlando",2024,MIP
Jason Beede,Orlando Sentinel,"Tyrese Maxey, Philadelphia","Coby White, Chicago","Jalen Williams, Oklahoma City",2024,MIP
Tim Bontemps,ESPN,"Jalen Brunson, New York","Tyrese Maxey, Philadelphia","Alperen Sengun, Houston",2024,MIP
Rod Boone,Charlotte Observer,"Tyrese Maxey, Philadelphia","Coby White, Chicago","Cam Thomas, Brooklyn",2024,MIP
Chris Broussard,Fox Sports,"Jalen Williams, Oklahoma City","Coby White, Chicago","Alperen Sengun, Houston",2024,MIP
Ric Bucher,FS1,"Coby White, Chicago","Jalen Williams, Oklahoma City","Duncan Robinson, Miami",2024,MIP
Miguel Candeias,A Bola,"Tyrese Maxey, Philadelphia","Coby White, Chicago","Alperen Sengun, Houston",2024,MIP
Tim Cato,The Athletic,"Alperen Sengun, Houston","Coby White, Chicago","Jalen Brunson, New York",2024,MIP
Shams Charania,The Athletic/Stadium,"Tyrese Maxey, Philadelphia","Coby White, Chicago","Alperen Sengun, Houston",2024,MIP
Anthony Chiang,Miami Herald,"Tyrese Maxey, Philadelphia","Coby White, Chicago","Jalen Williams, Oklahoma City",2024,MIP
Damichael Cole,Memphis Commercial Appeal,"Tyrese Maxey, Philadelphia","Jalen Williams, Oklahoma City","Coby White, Chicago",2024,MIP
Antoni Daimiel,Movistar+,"Coby White, Chicago","Tyrese Maxey, Philadelphia","Alperen Sengun, Houston",2024,MIP
Dan Devine,Yahoo! Sports,"Tyrese Maxey, Philadelphia","Coby White, Chicago","Jalen Williams, Oklahoma City",2024,MIP
Bennett Durando,Denver Post,"Jalen Williams, Oklahoma City","Tyrese Maxey, Philadelphia","Grayson Allen, Phoenix",2024,MIP
James Edwards III,The Athletic,"Alperen Sengun, Houston","Coby White, Chicago","Deni Avdija, Washington",2024,MIP
Chris Fedor,Cleveland.com,"Tyrese Maxey, Philadelphia","Alperen Sengun, Houston","Jalen Williams, Oklahoma City",2024,MIP
Ignacio Garcia,MARCA,"Tyrese Maxey, Philadelphia","Alperen Sengun, Houston","Coby White, Chicago",2024,MIP
