voter_name,affiliation,x1st_place_10_points,x2nd_place_7_points,x3rd_place_5_points,x4th_place_3_points,x5th_place_1_point,year,award
David Aldridge,The Athletic,"Nikola Jokic, Denver","Shai Gilgeous-Alexander, Oklahoma City","Luka Doncic, Dallas","Giannis Antetokounmpo, Milwaukee","Jayson Tatum, Boston",2024,MVP
Sam Amick,The Athletic,"Nikola Jokic, Denver","Luka Doncic, Dallas","Shai Gilgeous-Alexander, Oklahoma City","Giannis Antetokounmpo, Milwaukee","Jayson Tatum, Boston",2024,MVP
Jason Anderson,Sacramento Bee,"Nikola Jokic, Denver","Shai Gilgeous-Alexander, Oklahoma City","Luka Doncic, Dallas","Giannis Antetokounmpo, Milwaukee","Jayson Tatum, Boston",2024,MVP
Greg Anthony,WarnerMedia,"Shai Gilgeous-Alexander, Oklahoma City","Luka Doncic, Dallas","Nikola Jokic, Denver","Jalen Brunson, New York","Jayson Tatum, Boston",2024,MVP
Steve Aschburner,NBA.com,"Nikola Jokic, Denver","Shai Gilgeous-Alexander, Oklahoma City","Luka Doncic, Dallas","Jalen Brunson, New York","Jayson Tatum, Boston",2024,MVP
Maxime Aubin,L'Equipe,"Nikola Jokic, Denver","Shai Gilgeous-Alexander, Oklahoma City","Luka Doncic, Dallas","Jayson Tatum, Boston","Giannis Antetokounmpo, Milwaukee",2024,MVP
Evan Barnes,Newsday,"Nikola Jokic, Denver","Luka Doncic, Dallas","Shai Gilgeous-Alexander, Oklahoma City","Jayson Tatum, Boston","Jalen Brunson, New York",2024,MVP
Howard Beck,The Ringer,"Nikola Jokic, Denver","Shai Gilgeous-Alexander, Oklahoma City","Luka Doncic, Dallas","Giannis Antetokounmpo, Milwaukee","Jalen Brunson, New York",2024,MVP
Jason Beede,Orlando Sentinel,"Nikola Jokic, Denver","Luka Doncic, Dallas","Shai Gilgeous-Alexander, Oklahoma City","Jayson Tatum, Boston","Jalen Brunson, New York",2024,MVP
Tim Bontemps,ESPN,"Nikola Jokic, Denver","Luka Doncic, Dallas","Shai Gilgeous-Alexander, Oklahoma City","Giannis Antetokounmpo, Milwaukee","Jalen Brunson, New York",2024,MVP
Rod Boone,Charlotte Observer,"Shai Gilgeous-Alexander, Oklahoma City","Nikola Jokic, Denver","Giannis Antetokounmpo, Milwaukee","Luka Doncic, Dallas","Jayson Tatum, Boston",2024,MVP
Chris Broussard,Fox Sports,"Luka Doncic, Dallas","Nikola Jokic, Denver","Shai Gilgeous-Alexander, Oklahoma City","Jayson Tatum, Boston","Giannis Antetokounmpo, Milwaukee",2024,MVP
Ric Bucher,FS1,"Nikola Jokic, Denver","Shai Gilgeous-Alexander, Oklahoma City","Luka Doncic, Dallas","Giannis Antetokounmpo, Milwaukee","Jalen Brunson, New York",2024,MVP
Miguel Candeias,A Bola,"Nikola Jokic, Denver","Luka Doncic, Dallas","Shai Gilgeous-Alexander, Oklahoma City","Giannis Antetokounmpo, Milwaukee","Jayson Tatum, Boston",2024,MVP
Tim Cato,The Athletic,"Luka Doncic, Dallas","Nikola Jokic, Denver","Shai Gilgeous-Alexander, Oklahoma City","Giannis Antetokounmpo, Milwaukee","Jalen Brunson, New York",2024,MVP
Shams Charania,The Athletic/Stadium,"Shai Gilgeous-Alexander, Oklahoma City","Nikola Jokic, Denver","Luka Doncic, Dallas","Jayson Tatum, Boston","Anthony Edwards, Minnesota",2024,MVP
Anthony Chiang,Miami Herald,"Nikola Jokic, Denver","Luka Doncic, Dallas","Shai Gilgeous-Alexander, Oklahoma City","Jalen Brunson, New York","Giannis Antetokounmpo, Milwaukee",2024,MVP
Damichael Cole,Memphis Commercial Appeal,"Nikola Jokic, Denver","Shai Gilgeous-Alexander, Oklahoma City","Luka Doncic, Dallas","Giannis Antetokounmpo, Milwaukee","Kevin Durant, Phoenix",2024,MVP
Antoni Daimiel,Movistar+,"Nikola Jokic, Denver","Luka Doncic, Dallas","Shai Gilgeous-Alexander, Oklahoma City","Jalen Brunson, New York","Giannis Antetokounmpo, Milwaukee",2024,MVP
Dan Devine,Yahoo! Sports,"Nikola Jokic, Denver","Luka Doncic, Dallas","Shai Gilgeous-Alexander, Oklahoma City","Giannis Antetokounmpo, Milwaukee","Jayson Tatum, Boston",2024,MVP
