voter_name,affiliation,first_place_five_pts,second_place_three_pts,third_place_one_pt,year,award
Marv Albert,Turner,"Ball, LaMelo (CHA)","Haliburton, Tyrese (SAC)","Edwards, Anthony (MIN)",2021,ROY
Sam Amick,The Athletic,"Ball, LaMelo (CHA)","Edwards, Anthony (MIN)","Haliburton, Tyrese (SAC)",2021,ROY
Greg Anthony,Turner,Abstained,Abstained,Abstained,2021,ROY
Kevin Arnovitz,ESPN,"Ball, LaMelo (CHA)","Haliburton, Tyrese (SAC)","Edwards, Anthony (MIN)",2021,ROY
Steve Aschburner,NBA.com,"Ball, LaMelo (CHA)","Edwards, Anthony (MIN)","Haliburton, Tyrese (SAC)",2021,ROY
Evan Barnes,Memphis Commercial Appeal,"Ball, LaMelo (CHA)","Edwards, Anthony (MIN)","Haliburton, Tyrese (SAC)",2021,ROY
Jon Barry,ESPN,"Ball, LaMelo (CHA)","Edwards, Anthony (MIN)","Haliburton, Tyrese (SAC)",2021,ROY
Howard Beck,Sports Illustrated,"Ball, LaMelo (CHA)","Edwards, Anthony (MIN)","Haliburton, Tyrese (SAC)",2021,ROY
Stefan Bondy,New York Daily News,"Ball, LaMelo (CHA)","Edwards, Anthony (MIN)","Haliburton, Tyrese (SAC)",2021,ROY
Tim Bontemps,ESPN,"Ball, LaMelo (CHA)","Haliburton, Tyrese (SAC)","Edwards, Anthony (MIN)",2021,ROY
Chris Broussard,Fox Sports,"Edwards, Anthony (MIN)","Ball, LaMelo (CHA)","Haliburton, Tyrese (SAC)",2021,ROY
Ric Bucher,Sirius Radio,"Ball, LaMelo (CHA)","Haliburton, Tyrese (SAC)","Edwards, Anthony (MIN)",2021,ROY
Doris Burke,ESPN,"Ball, LaMelo (CHA)","Edwards, Anthony (MIN)","Haliburton, Tyrese (SAC)",2021,ROY
Shams Charania,The Athletic/Stadium,"Ball, LaMelo (CHA)","Edwards, Anthony (MIN)","Haliburton, Tyrese (SAC)",2021,ROY
Anthony Chiang,Miami Herald,"Ball, LaMelo (CHA)","Edwards, Anthony (MIN)","Haliburton, Tyrese (SAC)",2021,ROY
Davide Chinellato,La Gazzetta Dello Sport,"Ball, LaMelo (CHA)","Edwards, Anthony (MIN)","Haliburton, Tyrese (SAC)",2021,ROY
Mauricio Codocea,Clarin (Argentina),"Ball, LaMelo (CHA)","Edwards, Anthony (MIN)","Haliburton, Tyrese (SAC)",2021,ROY
Jamal Collier,Chicago Tribune,"Ball, LaMelo (CHA)","Edwards, Anthony (MIN)","Haliburton, Tyrese (SAC)",2021,ROY
Antoni Daimiel,Movistar+,"Ball, LaMelo (CHA)","Edwards, Anthony (MIN)","Haliburton, Tyrese (SAC)",2021,ROY
Dan Devine,The Ringer,"Ball, LaMelo (CHA)","Edwards, Anthony (MIN)","Haliburton, Tyrese (SAC)",2021,ROY
Chris Fedor,Cleveland.com,"Ball, LaMelo (CHA)","Edwards, Anthony (MIN)","Haliburton, Tyrese (SAC)",2021,ROY
Joe Freeman,The Oregonian,"Ball, LaMelo (CHA)","Edwards, Anthony (MIN)","Haliburton, Tyrese (SAC)",2021,ROY
Vince Goodwill,Yahoo! Sports,"Ball, LaMelo (CHA)","Edwards, Anthony (MIN)","Haliburton, Tyrese (SAC)",2021,ROY
Kyle Goon,Southern California News Group,"Ball, LaMelo (CHA)","Edwards, Anthony (MIN)","Haliburton, Tyrese (SAC)",2021,ROY
Michael Grange,Rogers Sportsnet,"Ball, LaMelo (CHA)","Edwards, Anthony (MIN)","Haliburton, Tyrese (SAC)",2021,ROY
Jared Greenberg,Turner,"Ball, LaMelo (CHA)","Edwards, Anthony (MIN)","Haliburton, Tyrese (SAC)",2021,ROY
Kevin Harlan,Turner,"Ball, LaMelo (CHA)","Edwards, Anthony (MIN)","Haliburton, Tyrese (SAC)",2021,ROY
Zach Harper,The Athletic,"Ball, LaMelo (CHA)","Edwards, Anthony (MIN)","Haliburton, Tyrese (SAC)",2021,ROY
Max Haupt,DPA,"Edwards, Anthony (MIN)","Ball, LaMelo (CHA)","Haliburton, Tyrese (SAC)",2021,ROY
Chris Haynes,Yahoo! Sports,"Edwards, Anthony (MIN)","Ball, LaMelo (CHA)","Haliburton, Tyrese (SAC)",2021,ROY
Kurt Helin,NBCSports.com,"Ball, LaMelo (CHA)","Haliburton, Tyrese (SAC)","Edwards, Anthony (MIN)",2021,ROY
Adam Himmelsbach,Boston Globe,"Ball, LaMelo (CHA)","Edwards, Anthony (MIN)","Haliburton, Tyrese (SAC)",2021,ROY
Lisa Hsu,Tencent,"Ball, LaMelo (CHA)","Edwards, Anthony (MIN)","Haliburton, Tyrese (SAC)",2021,ROY
Cassidy Hubbarth,ESPN,"Ball, LaMelo (CHA)","Edwards, Anthony (MIN)","Haliburton, Tyrese (SAC)",2021,ROY
Kelly Iko,The Athletic,"Ball, LaMelo (CHA)","Edwards, Anthony (MIN)","Haliburton, Tyrese (SAC)",2021,ROY
Frank Isola,Sirius Radio,"Edwards, Anthony (MIN)","Ball, LaMelo (CHA)","Bey, Saddiq (DET)",2021,ROY
Mark Jackson,ESPN,"Ball, LaMelo (CHA)","Edwards, Anthony (MIN)","Haliburton, Tyrese (SAC)",2021,ROY
Ernie Johnson,Turner,"Ball, LaMelo (CHA)","Edwards, Anthony (MIN)","Haliburton, Tyrese (SAC)",2021,ROY
Jason Jones,The Athletic,"Ball, LaMelo (CHA)","Haliburton, Tyrese (SAC)","Edwards, Anthony (MIN)",2021,ROY
Tony Jones,The Athletic,"Ball, LaMelo (CHA)","Edwards, Anthony (MIN)","Haliburton, Tyrese (SAC)",2021,ROY
Fred Katz,The Athletic,"Ball, LaMelo (CHA)","Haliburton, Tyrese (SAC)","Edwards, Anthony (MIN)",2021,ROY
Marc Kestecher,ESPN,"Ball, LaMelo (CHA)","Edwards, Anthony (MIN)","Haliburton, Tyrese (SAC)",2021,ROY
Chris Kirschner,The Athletic,"Ball, LaMelo (CHA)","Edwards, Anthony (MIN)","Haliburton, Tyrese (SAC)",2021,ROY
Scott Kushner,New Orleans Times Picayune,"Ball, LaMelo (CHA)","Edwards, Anthony (MIN)","Haliburton, Tyrese (SAC)",2021,ROY
Brian Lewis,New York Post,"Ball, LaMelo (CHA)","Edwards, Anthony (MIN)","Haliburton, Tyrese (SAC)",2021,ROY
Zach Lowe,ESPN,"Ball, LaMelo (CHA)","Edwards, Anthony (MIN)","Haliburton, Tyrese (SAC)",2021,ROY
Jackie MacMullan,ESPN,"Ball, LaMelo (CHA)","Edwards, Anthony (MIN)","Haliburton, Tyrese (SAC)",2021,ROY
Brian Mahoney,Associated Press,"Ball, LaMelo (CHA)","Edwards, Anthony (MIN)","Haliburton, Tyrese (SAC)",2021,ROY
Rob Mahoney,The Ringer,"Ball, LaMelo (CHA)","Edwards, Anthony (MIN)","Haliburton, Tyrese (SAC)",2021,ROY
Chris Mannix,Sports Illustrated,"Ball, LaMelo (CHA)","Edwards, Anthony (MIN)","Bey, Saddiq (DET)",2021,ROY
Diego Martinez,Reforma,"Ball, LaMelo (CHA)","Edwards, Anthony (MIN)","Haliburton, Tyrese (SAC)",2021,ROY
Jeff McDonald,San Antonio Express-News,"Ball, LaMelo (CHA)","Edwards, Anthony (MIN)","Haliburton, Tyrese (SAC)",2021,ROY
Dave McMenamin,ESPN,"Ball, LaMelo (CHA)","Edwards, Anthony (MIN)","Haliburton, Tyrese (SAC)",2021,ROY
Mark Medina,USA Today,"Ball, LaMelo (CHA)","Edwards, Anthony (MIN)","Haliburton, Tyrese (SAC)",2021,ROY
Yoko Miyaji,Sports Graphic Number,"Ball, LaMelo (CHA)","Edwards, Anthony (MIN)","Haliburton, Tyrese (SAC)",2021,ROY
Joe Mussatto,The Oklahoman,"Ball, LaMelo (CHA)","Edwards, Anthony (MIN)","Haliburton, Tyrese (SAC)",2021,ROY
Rachel Nichols,ESPN,"Ball, LaMelo (CHA)","Edwards, Anthony (MIN)","Haliburton, Tyrese (SAC)",2021,ROY
Kevin O'Connor,The Ringer,"Ball, LaMelo (CHA)","Edwards, Anthony (MIN)","Haliburton, Tyrese (SAC)",2021,ROY
James Owczarski,Milwaukee Journal Sentinel,"Edwards, Anthony (MIN)","Ball, LaMelo (CHA)","Haliburton, Tyrese (SAC)",2021,ROY
Candace Parker,Turner,"Ball, LaMelo (CHA)","Edwards, Anthony (MIN)","Haliburton, Tyrese (SAC)",2021,ROY
Roy Parry,Orlando Sentinel,"Edwards, Anthony (MIN)","Ball, LaMelo (CHA)","Bey, Saddiq (DET)",2021,ROY
Dave Pasch,ESPN,"Ball, LaMelo (CHA)","Edwards, Anthony (MIN)","Haliburton, Tyrese (SAC)",2021,ROY
Kevin Pelton,ESPN,"Ball, LaMelo (CHA)","Haliburton, Tyrese (SAC)","Edwards, Anthony (MIN)",2021,ROY
Keith Pompey,Philadelphia Inquirer and Daily News,"Edwards, Anthony (MIN)","Ball, LaMelo (CHA)","Haliburton, Tyrese (SAC)",2021,ROY
Shaun Powell,NBA.com,"Ball, LaMelo (CHA)","Edwards, Anthony (MIN)","Haliburton, Tyrese (SAC)",2021,ROY
Duane Rankin,Arizona Republic,"Ball, LaMelo (CHA)","Haliburton, Tyrese (SAC)","Edwards, Anthony (MIN)",2021,ROY
Bill Reiter,CBSSports.com,"Ball, LaMelo (CHA)","Edwards, Anthony (MIN)","Haliburton, Tyrese (SAC)",2021,ROY
Tim Reynolds,Associated Press,"Edwards, Anthony (MIN)","Ball, LaMelo (CHA)","Haliburton, Tyrese (SAC)",2021,ROY
Melissa Rohlin,Fox Sports,"Ball, LaMelo (CHA)","Edwards, Anthony (MIN)","Haliburton, Tyrese (SAC)",2021,ROY
Taylor Rooks,Bleacher Report,"Edwards, Anthony (MIN)","Ball, LaMelo (CHA)","Haliburton, Tyrese (SAC)",2021,ROY
Jalen Rose,ESPN,"Ball, LaMelo (CHA)","Edwards, Anthony (MIN)","Haliburton, Tyrese (SAC)",2021,ROY
Simone Sandri,Gazzetta.it,"Ball, LaMelo (CHA)","Edwards, Anthony (MIN)","Haliburton, Tyrese (SAC)",2021,ROY
Omari Sankofa II,Detroit Free Press,"Ball, LaMelo (CHA)","Edwards, Anthony (MIN)","Haliburton, Tyrese (SAC)",2021,ROY
John Schuhmann,NBA.com,"Ball, LaMelo (CHA)","Edwards, Anthony (MIN)","Haliburton, Tyrese (SAC)",2021,ROY
Guillermo Schutz,Televisa (TUDN),"Ball, LaMelo (CHA)","Edwards, Anthony (MIN)","Haliburton, Tyrese (SAC)",2021,ROY
Dennis Scott,Turner,"Ball, LaMelo (CHA)","Edwards, Anthony (MIN)","Haliburton, Tyrese (SAC)",2021,ROY
Ramona Shelburne,ESPN,"Ball, LaMelo (CHA)","Edwards, Anthony (MIN)","Haliburton, Tyrese (SAC)",2021,ROY
Bill Simmons,The Ringer,"Ball, LaMelo (CHA)","Edwards, Anthony (MIN)","Haliburton, Tyrese (SAC)",2021,ROY
Mike Singer,Denver Post,"Ball, LaMelo (CHA)","Edwards, Anthony (MIN)","Haliburton, Tyrese (SAC)",2021,ROY
Anthony Slater,The Athletic,"Ball, LaMelo (CHA)","Edwards, Anthony (MIN)","Haliburton, Tyrese (SAC)",2021,ROY
Doug Smith,The Toronto Star,"Ball, LaMelo (CHA)","Edwards, Anthony (MIN)","Haliburton, Tyrese (SAC)",2021,ROY
Stephen A. Smith,ESPN,"Ball, LaMelo (CHA)","Edwards, Anthony (MIN)","Haliburton, Tyrese (SAC)",2021,ROY
Steve Smith,Turner,"Edwards, Anthony (MIN)","Ball, LaMelo (CHA)","Haliburton, Tyrese (SAC)",2021,ROY
Seerat Sohi,The Ringer,"Ball, LaMelo (CHA)","Edwards, Anthony (MIN)","Haliburton, Tyrese (SAC)",2021,ROY
Daisuke Sugiura,Nihon Keizai Shimbun,"Ball, LaMelo (CHA)","Edwards, Anthony (MIN)","Haliburton, Tyrese (SAC)",2021,ROY
Mirjam Swanson,Southern California News Group,"Ball, LaMelo (CHA)","Edwards, Anthony (MIN)","Haliburton, Tyrese (SAC)",2021,ROY
