voter_name,affiliation,first_place_five_pts,second_place_three_pts,third_place_one_pt,year,award
Jason Kosmicki,Altitude Radio Network,"Barton, Will -- DEN","Anderson, Ryan -- NOP","Kanter, Enes -- OKC",2016,SMOY
David Wesley,Fox Sports New Orleans,"Barton, Will -- DEN","Anderson, Ryan -- NOP","Lin, Jeremy -- CHA",2016,SMOY
Eddie Sefko,Dallas Morning News,"Crawford, Jamal -- LAC","Anderson, Ryan -- NOP","Iguodala, Andre -- GS",2016,SMOY
Brian Sieman,The Beast 980,"Crawford, Jamal -- LAC","Anderson, Ryan -- NOP","Kanter, Enes -- OKC",2016,SMOY
Jason Lieser,Palm Beach Post,"Iguodala, Andre -- GS","Anderson, Ryan -- NOP","Barton, Will -- DEN",2016,SMOY
Jeff Zillgitt,USA Today,"Iguodala, Andre -- GS","Anderson, Ryan -- NOP","Crawford, Jamal -- LAC",2016,SMOY
Mike Crispino,MSG Network,"Turner, Evan -- BOS","Barea, Jose Juan -- DAL","Schroder, Dennis -- ATL",2016,SMOY
Jason Quick,Comcast SportsNet NW,"Anderson, Ryan -- NOP","Barton, Will -- DEN","Kanter, Enes -- OKC",2016,SMOY
Jody Genessy,Deseret News,"Crawford, Jamal -- LAC","Barton, Will -- DEN","Iguodala, Andre -- GS",2016,SMOY
Rod Beard,Detroit News,"Crawford, Jamal -- LAC","Barton, Will -- DEN","Turner, Evan -- BOS",2016,SMOY
Dennis Neumann,ESPN 580 AM,"Crawford, Jamal -- LAC","Barton, Will -- DEN","Anderson, Ryan -- NOP",2016,SMOY
Kevin Calabro,ESPN Radio,"Crawford, Jamal -- LAC","Barton, Will -- DEN","Livingston, Shaun -- GS",2016,SMOY
Jim Petersen,Fox Sports North,"Crawford, Jamal -- LAC","Barton, Will -- DEN","Iguodala, Andre -- GS",2016,SMOY
Andre Aldridge,Fox Sports South,"Crawford, Jamal -- LAC","Barton, Will -- DEN","Kanter, Enes -- OKC",2016,SMOY
Walt Frazier,MSG Network,"Crawford, Jamal -- LAC","Barton, Will -- DEN","Lin, Jeremy -- CHA",2016,SMOY
Chris Haynes,Northeast Ohio Media Group/Cleveland.com,"Crawford, Jamal -- LAC","Barton, Will -- DEN","LaVine, Zach -- MIN",2016,SMOY
Frank Isola,Sirius Radio/New York Daily News,"Crawford, Jamal -- LAC","Barton, Will -- DEN","Turner, Evan -- BOS",2016,SMOY
Bill Simmons,Bill Simmons Podcast/HBO,"Iguodala, Andre -- GS","Barton, Will -- DEN","Livingston, Shaun -- GS",2016,SMOY
Doris Burke,ESPN,"Iguodala, Andre -- GS","Barton, Will -- DEN","Crawford, Jamal -- LAC",2016,SMOY
Zach Lowe,ESPN.com,"Iguodala, Andre -- GS","Barton, Will -- DEN","Davis, Ed -- POR",2016,SMOY
Bill Land,Fox Sports Southwest,"Iguodala, Andre -- GS","Barton, Will -- DEN","Turner, Evan -- BOS",2016,SMOY
Jim Paschke,Fox Sports Wisconsin,"Iguodala, Andre -- GS","Barton, Will -- DEN","Kanter, Enes -- OKC",2016,SMOY
Jonathan Feigen,Houston Chronicle,"Iguodala, Andre -- GS","Barton, Will -- DEN","Crawford, Jamal -- LAC",2016,SMOY
Bill Oram,Orange County Register,"Iguodala, Andre -- GS","Barton, Will -- DEN","Crawford, Jamal -- LAC",2016,SMOY
John Denton,OrlandoMagic.com,"Iguodala, Andre -- GS","Barton, Will -- DEN","Crabbe, Allen -- POR",2016,SMOY
